time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/learning_rate,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,train/clip_fraction,train/explained_variance
8477,0,1,-16.681825,2048,0.0,150.0,,,,,,,,,,
6068,0,2,-14.855881875,4096,0.0,150.0,-2.186630477011204,0.7448104428127408,0.0003,0.014016638,10,0.2,-0.020642669458175077,-0.05348397046327591,0.15712890625,0.07642924785614014
5621,1,3,-14.1877167,6144,0.0,150.0,-2.1745682463049887,0.8025970160961151,0.0003,0.009375801,20,0.2,-0.013738081471819897,0.025463104248046875,0.075341796875,0.3212141990661621
5449,1,4,-14.27390257692308,8192,0.0,150.0,-2.1738251529634,0.5905064810998738,0.0003,0.009739293,30,0.2,-0.012630598890245892,-0.002370685338973999,0.07529296875,0.5834841728210449
5381,1,5,-14.280689323529414,10240,0.0,150.0,-2.1573079004883766,0.6128801971208304,0.0003,0.010913575,40,0.2,-0.01804468421614729,0.013066112995147705,0.09677734375,0.6886032819747925
5313,2,6,-13.9506981875,12288,0.0125,150.0,-2.1637702703475954,0.4954572987742722,0.0003,0.010188887,50,0.2,-0.01883603378664702,-0.03735996037721634,0.0958984375,0.7690921425819397
5177,2,7,-13.87061172826087,14336,0.010869565217391304,150.0,-2.152357328683138,0.48186544040217993,0.0003,0.011631962,60,0.2,-0.018240288013475946,-0.03638845682144165,0.1193359375,0.7312322854995728
5159,3,8,-13.285081670000002,16384,0.01,150.0,-2.13644742295146,0.42220068955793977,0.0003,0.010723773,70,0.2,-0.016682355893135537,-0.07648145407438278,0.082080078125,0.7793061137199402
5140,3,9,-12.99129115,18432,0.01,150.0,-2.1448820389807226,0.4968498242087662,0.0003,0.009674549,80,0.2,-0.017687730700708927,-0.02468806505203247,0.08232421875,0.8414026498794556
5052,4,10,-13.075266310000002,20480,0.01,150.0,-2.1317949280142785,0.3332204464357346,0.0003,0.010644031,90,0.2,-0.022607810894260182,-0.09310827404260635,0.120361328125,0.7564871311187744
4990,4,11,-12.521914039999999,22528,0.01,150.0,-2.1209071308374403,0.3561823574593291,0.0003,0.011385464,100,0.2,-0.022986002071411347,0.006930112838745117,0.150244140625,0.8314118981361389
4996,4,12,-12.126546970000001,24576,0.01,150.0,-2.1357400484383104,0.3273069174960256,0.0003,0.014949784,110,0.2,-0.02179139885120094,-0.07572558522224426,0.146923828125,0.7474995851516724
4997,5,13,-11.62349557,26624,0.01,150.0,-2.114168991148472,0.44129457301460207,0.0003,0.012160666,120,0.2,-0.019340788075351157,-0.07288354635238647,0.128662109375,0.7200956344604492
5003,5,14,-11.927463280000001,28672,0.0,150.0,-2.1077303484082224,0.3551606933120638,0.0003,0.010946421,130,0.2,-0.025806722152628934,-0.10473139584064484,0.113525390625,0.6864591240882874
4988,6,15,-11.271907839999999,30720,0.0,150.0,-2.1029569625854494,0.3038810751866549,0.0003,0.0145417405,140,0.2,-0.023656719298742246,-0.06542448699474335,0.151904296875,0.8409622311592102
4953,6,16,-10.9292082,32768,0.0,150.0,-2.075866616517305,0.26862092337105425,0.0003,0.014168246,150,0.2,-0.023845096075092442,-0.08863447606563568,0.12998046875,0.8524783253669739
4909,7,17,-10.149624059999997,34816,0.03,150.0,-2.07887222468853,0.2589394343784079,0.0003,0.012193315,160,0.2,-0.027334194953436964,-0.0830894187092781,0.14970703125,0.8248076438903809
4849,7,18,-9.37615423,36864,0.04,150.0,-2.064457342028618,0.4410438974155113,0.0003,0.010084897,170,0.2,-0.016980339896690566,-0.08040550351142883,0.089794921875,0.5751957893371582
4845,8,19,-8.67222339,38912,0.04,150.0,-2.0669325731694697,0.39378660055808723,0.0003,0.012086072,180,0.2,-0.02546135589655023,-0.02848115563392639,0.1361328125,0.6873424053192139
4845,8,20,-7.04306064,40960,0.04,150.0,-2.042674470692873,0.32058407720178367,0.0003,0.012665857,190,0.2,-0.022094445978291334,-0.09785183519124985,0.136083984375,0.7398395538330078
4850,8,21,-6.14215088,43008,0.05,150.0,-2.0062242038547993,0.39031939858105036,0.0003,0.016260803,200,0.2,-0.025575012419722043,-0.023829594254493713,0.156591796875,0.78106689453125
4862,9,22,-5.0219999,45056,0.07,150.0,-1.993330155685544,0.3610895998310298,0.0003,0.01587974,210,0.2,-0.025005621093441732,-0.0654011070728302,0.151220703125,0.6817939877510071
4857,9,23,-3.70099306,47104,0.09,150.0,-1.9864095281809568,0.32314222955610605,0.0003,0.011753015,220,0.2,-0.02521495670371223,-0.08708344399929047,0.1298828125,0.6877509355545044
4869,10,24,-3.35089175,49152,0.09,150.0,-1.9591833405196666,0.38411946352571247,0.0003,0.0140943285,230,0.2,-0.023192134854616596,-0.06718537211418152,0.123876953125,0.6389124393463135
4874,10,25,-3.163202150000001,51200,0.07,150.0,-1.9480561822652818,0.36048002194147555,0.0003,0.011171422,240,0.2,-0.025708656251663343,-0.022223271429538727,0.124072265625,0.770359992980957
4883,10,26,-2.22424942,53248,0.09,150.0,-1.9402459256350995,0.394465489522554,0.0003,0.013782624,250,0.2,-0.023556333547458053,-0.04649253934621811,0.1640625,0.6696758270263672
4895,11,27,-1.9217882599999998,55296,0.1,150.0,-1.9144081309437753,0.44471396002918484,0.0003,0.011591574,260,0.2,-0.02221370944462251,-0.05674644559621811,0.1251953125,0.778991162776947
4902,11,28,-1.2330624000000001,57344,0.12,150.0,-1.9190757874399424,0.2590017447713763,0.0003,0.016734751,270,0.2,-0.033491723577026275,-0.09368158131837845,0.212060546875,0.8327389359474182
4911,12,29,-1.2631022400000003,59392,0.12,150.0,-1.9184984415769577,0.38959097284823657,0.0003,0.015823457,280,0.2,-0.02346311806468293,0.015266552567481995,0.16943359375,0.7254944443702698
4914,12,30,-2.1104718100000004,61440,0.1,150.0,-1.9182180248200893,0.39771541792433707,0.0003,0.015585337,290,0.2,-0.029060708230827004,-0.10323777794837952,0.168896484375,0.7605404853820801
4921,12,31,-2.02921826,63488,0.11,150.0,-1.9098965726792811,0.3283981742803007,0.0003,0.013779466,300,0.2,-0.022650655581674072,-0.09132084250450134,0.145068359375,0.8293522596359253
4925,13,32,-1.6747296,65536,0.1,150.0,-1.9103067439049481,0.2924143008654937,0.0003,0.011508787,310,0.2,-0.019392151545616798,-0.08561566472053528,0.154296875,0.8712385892868042
4929,13,33,-0.9961753899999999,67584,0.13,150.0,-1.9323131524026393,0.31938111055642365,0.0003,0.012840837,320,0.2,-0.02091841915680561,-0.06627801805734634,0.147314453125,0.7711423635482788
4915,14,34,-1.04469408,69632,0.14,150.0,-1.9523224670439958,0.3167920914245769,0.0003,0.014246063,330,0.2,-0.021256650547729804,-0.07344597578048706,0.1716796875,0.7762657999992371
4921,14,35,-0.9652349000000001,71680,0.13,150.0,-1.913962334766984,0.30664167141076176,0.0003,0.018288728,340,0.2,-0.028120446094544605,-0.047115541994571686,0.1771484375,0.7786773443222046
4928,14,36,-0.66609478,73728,0.14,150.0,-1.9193130679428578,0.3122872755629942,0.0003,0.0123181995,350,0.2,-0.02081715737003833,-0.05469527840614319,0.12119140625,0.7016512751579285
4933,15,37,0.12711744000000003,75776,0.16,150.0,-1.9534092612564564,0.30331764272414147,0.0003,0.016244452,360,0.2,-0.025292125696432778,-0.03229442983865738,0.172509765625,0.7373652458190918
4938,15,38,0.55441547,77824,0.16,150.0,-1.9489977940917016,0.30212669717147944,0.0003,0.01725248,370,0.2,-0.022775301439105534,-0.09383463114500046,0.141162109375,0.7507322430610657
4943,16,39,0.5414626199999999,79872,0.18,150.0,-1.9147644970566033,0.3432394064264372,0.0003,0.012866658,380,0.2,-0.024155286481254735,-0.02402263879776001,0.129443359375,0.6623924970626831
4949,16,40,0.6087653799999999,81920,0.17,150.0,-1.9148376248776913,0.40445106439292433,0.0003,0.013407301,390,0.2,-0.0240192086683237,-0.019238844513893127,0.144384765625,0.5969194173812866
4950,16,41,0.3753778700000001,83968,0.16,150.0,-1.9188765909522771,0.38841246475931257,0.0003,0.0132360235,400,0.2,-0.02278266710054595,-0.039553187787532806,0.1345703125,0.6638054847717285
4933,17,42,0.7094141700000002,86016,0.18,150.0,-1.896841859817505,0.25134136135457086,0.0003,0.016015958,410,0.2,-0.02459748367109569,-0.08626022934913635,0.173974609375,0.756682276725769
4904,17,43,0.7261218199999999,88064,0.18,150.0,-1.9089520405977964,0.37692288649268446,0.0003,0.012887102,420,0.2,-0.02158331557875499,-0.066309355199337,0.134326171875,0.7212005853652954
4879,18,44,0.2224041499999998,90112,0.16,150.0,-1.8918669905513525,0.32626234320923686,0.0003,0.013021868,430,0.2,-0.021671330675599166,-0.04843094199895859,0.146875,0.7765300869941711
4881,18,45,0.7280982799999998,92160,0.18,150.0,-1.8537989668548107,0.3284922272199765,0.0003,0.014386466,440,0.2,-0.022299467567063403,-0.02818799763917923,0.14453125,0.699860155582428
4884,19,46,0.17426235000000012,94208,0.15,150.0,-1.866961306333542,0.34661698702257127,0.0003,0.011657248,450,0.2,-0.018203481269301845,-0.028190962970256805,0.129345703125,0.7336033582687378
4886,19,47,0.05591731000000004,96256,0.14,150.0,-1.861847496777773,0.3488322599092498,0.0003,0.012659365,460,0.2,-0.023053961612458807,-0.03763420134782791,0.146728515625,0.8401103019714355
4891,20,48,0.3468298200000001,98304,0.17,150.0,-1.8685502238571643,0.30639228045474737,0.0003,0.015623426,470,0.2,-0.028616729196801315,-0.04969611018896103,0.17275390625,0.7385814785957336
4879,20,49,0.5844944399999998,100352,0.16,150.0,-1.8641304947435855,0.33543469698634,0.0003,0.015268076,480,0.2,-0.022863877039344515,-0.019981324672698975,0.165869140625,0.7207592725753784
