episode,total_timesteps,reward
1,600,-23.6885
2,600,-21.6948
3,600,-27.1906
4,600,-11.3743
5,1200,-12.4147
6,1200,-18.0989
7,1200,-1.2626
8,1200,-25.8132
9,1800,-15.5483
10,1800,-16.1628
11,1800,-8.7016
12,1800,-18.2317
13,2400,-11.1745
14,2400,-6.0548
15,2400,-14.9558
16,2400,-7.5457
17,3000,-10.9805
18,3000,-19.2535
19,3000,-9.7229
20,3000,-12.0595
21,3600,-15.8918
22,3600,-18.1161
23,3600,-13.8769
24,3600,-16.7273
25,4200,-17.6225
26,4200,-27.6017
27,4200,-10.559
28,4200,2.3695
29,4800,-16.1886
30,4800,-9.7445
31,4800,-11.2835
32,4800,-13.4307
33,5400,-7.0216
34,5400,-18.3816
35,5400,4.0308
36,5400,-6.0928
37,6000,-14.1874
38,6000,-22.6252
39,6000,-17.3863
40,6000,-25.2424
41,6600,-11.6331
42,6600,-22.4452
43,6600,-10.3095
44,6600,-6.5633
45,7200,-14.6784
46,7200,-12.8557
47,7200,-14.6622
48,7200,-9.8774
49,7800,-19.2366
50,7800,-13.9645
51,7800,-14.612
52,7800,-23.8964
53,8400,-12.4587
54,8400,-20.6534
55,8400,-9.1779
56,8400,-14.8458
57,9000,-22.8006
58,9000,-18.0749
59,9000,-16.1977
60,9000,-21.8702
61,9600,-20.5302
62,9600,-9.471
63,9600,-4.6921
64,9600,-14.1349
65,10200,-26.1324
66,10200,-5.7065
67,10200,-14.2327
68,10200,2.135
69,10800,-4.7916
70,10800,-7.097
71,10800,-17.583
72,10800,-22.0431
73,11400,-13.9315
74,11400,-25.0004
75,11400,-16.6122
76,11400,-18.1173
77,12000,-14.2205
78,12000,10.8665
79,12000,-6.9481
80,12000,-9.4909
81,12600,-19.2854
82,12600,-12.8866
83,12600,-5.1558
84,12600,-16.2761
85,13200,-16.292
86,13200,-16.716
87,13200,-11.1932
88,13200,-7.7514
89,13800,-8.6277
90,13800,-5.8547
91,13800,-22.314
92,13800,-17.6877
93,14400,-18.9715
94,14400,-0.376
95,14400,-16.7522
96,14400,-2.8593
97,15000,-11.727
98,15000,-16.4791
99,15000,-12.9045
100,15000,-20.1129
101,15600,-5.3193
102,15600,-14.3795
103,15600,-26.5154
104,15600,-0.9187
105,16200,-5.0954
106,16200,-10.931
107,16200,-17.0376
108,16200,-13.5698
109,16800,-10.7779
110,16800,-6.3367
111,16800,-16.1863
112,16800,1.6885
113,17400,-12.2712
114,17400,-11.3013
115,17400,-6.6645
116,17400,-20.9146
117,18000,-7.9638
118,18000,-13.8349
119,18000,-12.6314
120,18000,-3.8185
121,18600,-10.147
122,18600,-15.6969
123,18600,-13.7717
124,18600,-14.6662
125,19200,-12.5632
126,19200,-21.2851
127,19200,-10.5808
128,19200,-4.3856
129,19800,0.0684
130,19800,-15.802
131,19800,-13.2203
132,19800,-19.9841
133,20400,-10.4607
134,20400,-8.1029
135,20400,-15.5011
