time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/success_rate,time/episodes,train/learning_rate,train/loss,train/n_updates
150,-8.281368,0.9928750000000003,0,150.0,6811,0.0,1,,,
300,-16.456797,0.98575,0,150.0,6982,0.0,2,,,
450,-17.092849,0.9786250000000003,0,150.0,7104,0.0,3,,,
600,-16.62124725,0.9715,0,150.0,7157,0.0,4,,,
750,-16.0455026,0.9643750000000002,0,150.0,7215,0.0,5,,,
900,-14.753017999999999,0.9572499999999999,0,150.0,7231,0.0,6,,,
1050,-15.848135714285714,0.9501250000000002,0,150.0,6928,0.0,7,0.001,0.05797073245048523,12
1200,-15.62469375,0.943,0,150.0,6408,0.0,8,0.001,0.003207526169717312,49
1350,-15.984950555555555,0.9358750000000002,0,150.0,6039,0.0,9,0.001,0.0065995436161756516,87
1500,-15.1501888,0.92875,0,150.0,5776,0.0,10,0.001,0.006489736959338188,124
1650,-15.231139818181818,0.9216250000000002,0,150.0,5571,0.0,11,0.001,0.014365960843861103,162
1800,-14.58070675,0.9145,0,150.0,5422,0.0,12,0.001,0.004296406172215939,199
1950,-15.961221769230768,0.9073750000000002,0,150.0,5302,0.0,13,0.001,0.0040747299790382385,237
2100,-16.016284785714284,0.9002499999999999,0,150.0,5196,0.0,14,0.001,0.027926374226808548,274
2250,-15.695860399999999,0.8931250000000002,0,150.0,5092,0.0,15,0.001,0.019180230796337128,312
2400,-15.4357349375,0.8859999999999999,0,150.0,5022,0.0,16,0.001,0.017679080367088318,349
2550,-15.096585176470589,0.8788750000000002,0,150.0,4958,0.0,17,0.001,0.022335154935717583,387
2700,-15.40879338888889,0.8717499999999999,0,150.0,4900,0.0,18,0.001,0.012781726196408272,424
2850,-14.868956789473687,0.8646250000000002,0,150.0,4837,0.0,19,0.001,0.02668057382106781,462
3000,-15.097171600000001,0.8574999999999999,0,150.0,4794,0.0,20,0.001,0.021825242787599564,499
