time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/success_rate,time/episodes,train/learning_rate,train/loss,train/n_updates
150,-17.28114,0.9928750000000003,0,150.0,7050,0.0,1,,,
300,-19.8763005,0.98575,0,150.0,7064,0.0,2,,,
450,-16.366434666666667,0.9786250000000003,0,150.0,7163,0.0,3,,,
600,-14.62722575,0.9715,0,150.0,7139,0.0,4,,,
750,-13.580439799999999,0.9643750000000002,0,150.0,7189,0.0,5,,,
900,-13.146377999999999,0.9572499999999999,0,150.0,7206,0.0,6,,,
1050,-11.633341714285715,0.9501250000000002,0,150.0,6874,0.0,7,0.0005,0.019348740577697754,12
1200,-12.30383075,0.943,0,150.0,6364,0.0,8,0.0005,0.018994862213730812,49
1350,-11.191012444444445,0.9358750000000002,0,150.0,6014,0.0,9,0.0005,0.01877225562930107,87
1500,-12.6223862,0.92875,0,150.0,5748,0.0,10,0.0005,0.016229622066020966,124
1650,-12.810617,0.9216250000000002,0,150.0,5553,0.0,11,0.0005,0.010967854410409927,162
1800,-13.309924166666667,0.9145,0,150.0,5404,0.0,12,0.0005,0.016078442335128784,199
1950,-13.513155461538462,0.9073750000000002,0,150.0,5293,0.0,13,0.0005,0.006268676370382309,237
2100,-13.578482,0.9002499999999999,0,150.0,5188,0.0,14,0.0005,0.03561132401227951,274
2250,-13.883571733333333,0.8931250000000002,0,150.0,5096,0.0,15,0.0005,0.008419007062911987,312
2400,-13.9054988125,0.8859999999999999,0,150.0,5025,0.0,16,0.0005,0.016868408769369125,349
2550,-14.449415411764706,0.8788750000000002,0,150.0,4959,0.0,17,0.0005,0.009392885491251945,387
2700,-14.935482444444444,0.8717499999999999,0,150.0,4910,0.0,18,0.0005,0.011481963098049164,424
2850,-15.366008842105263,0.8646250000000002,0,150.0,4864,0.0,19,0.0005,0.008416754193603992,462
3000,-14.7373952,0.8574999999999999,0,150.0,4822,0.0,20,0.0005,0.006040968932211399,499
3150,-14.17281161904762,0.8503750000000001,0,150.0,4766,0.0,21,0.0005,0.042655348777770996,537
3300,-13.596764181818184,0.8432499999999998,0,150.0,4729,0.0,22,0.0005,0.03491645306348801,574
3450,-13.704417826086956,0.8361250000000001,0,150.0,4692,0.0,23,0.0005,0.03721495345234871,612
3600,-13.853185416666667,0.8289999999999998,0,150.0,4659,0.0,24,0.0005,0.05998498946428299,649
3750,-13.48656172,0.8218750000000001,0,150.0,4631,0.0,25,0.0005,0.0390639528632164,687
