episode,total_timesteps,reward
1,150,-17.4584
2,300,-6.8543
3,450,-6.0249
4,600,-13.3588
5,750,-7.3582
6,900,-5.7283
7,1050,-23.0621
8,1200,-19.3076
9,1350,-12.1476
10,1500,3.8551
11,1650,-14.9233
12,1800,-6.7335
13,1950,-11.9415
14,2100,-16.9767
15,2250,-13.9797
16,2400,-16.3625
17,2550,-17.1331
18,2700,-22.1893
19,2850,-12.8249
20,3000,-26.1236
21,3150,-20.9117
22,3300,-15.4876
23,3450,-16.8751
24,3600,-16.4147
25,3750,-17.8465
26,3900,-17.9877
27,4050,-15.9224
28,4200,-15.7163
29,4350,-6.6382
30,4500,-13.3267
31,4650,-13.965
32,4800,-11.8499
33,4950,-7.8416
34,5100,-16.9071
35,5250,-22.1938
36,5400,-14.5859
37,5550,-14.6363
38,5700,-17.8754
39,5850,11.834
40,6000,-18.2737
41,6150,-19.2073
42,6300,-15.8886
43,6450,-10.1577
44,6600,-13.235
45,6750,-7.9236
46,6900,-14.8431
47,7050,-25.8243
48,7200,-17.8
49,7350,-9.1523
50,7500,-10.2369
51,7650,-18.3651
52,7800,-11.9532
53,7950,-8.8542
54,8100,-20.5156
55,8250,-27.7778
56,8400,-4.8723
57,8550,-11.067
58,8700,-11.4912
59,8850,-23.8931
60,9000,-7.6383
61,9150,-21.3737
62,9300,-9.389
63,9450,-8.4836
64,9600,-5.0901
65,9750,-15.3416
66,9900,-26.3662
67,10050,-15.1379
68,10200,-17.2313
69,10350,-8.9916
70,10500,-27.0831
71,10650,2.3772
72,10800,-5.1595
73,10950,-5.6165
74,11100,-11.4435
75,11250,-9.4543
76,11400,-26.3239
77,11550,-19.0772
78,11700,-15.3873
79,11850,-15.2809
80,12000,-22.4652
81,12150,-16.1339
82,12300,-9.0857
83,12450,-10.0477
84,12600,-30.6166
85,12750,-15.632
86,12900,2.816
87,13050,-19.1106
88,13200,-21.9678
89,13350,-10.7796
90,13500,3.483
91,13650,-17.292
92,13800,-6.3797
93,13950,-14.3234
94,14100,-10.9277
95,14250,-12.3559
96,14400,-13.0812
97,14550,-16.5326
98,14700,-20.678
99,14850,-11.493
100,15000,-18.7958
101,15150,-21.5408
102,15300,-23.604
103,15450,-2.481
104,15600,-3.9572
105,15750,-2.1207
106,15900,-19.9628
107,16050,-14.1682
108,16200,-4.6711
109,16350,-3.634
110,16500,-9.7551
111,16650,-27.6379
112,16800,-31.2982
113,16950,-9.5629
114,17100,-8.4355
115,17250,-10.9335
116,17400,-9.6979
117,17550,-20.2307
118,17700,-14.8858
119,17850,-20.3991
120,18000,-2.4789
121,18150,-17.1165
122,18300,-12.2499
123,18450,-12.2012
124,18600,-13.1446
125,18750,-13.7504
126,18900,-21.8249
127,19050,-5.5362
128,19200,-12.8729
129,19350,-22.6875
130,19500,-20.3527
131,19650,-25.4595
132,19800,-7.7414
133,19950,-15.4922
134,20100,-5.3547
135,20250,-13.7199
136,20400,-1.2569
137,20550,-18.1223
138,20700,-13.1601
139,20850,-5.5588
140,21000,-17.2119
141,21150,-11.671
142,21300,-7.7729
143,21450,-19.7502
144,21600,-13.3923
145,21750,-4.5978
146,21900,-13.3438
147,22050,-21.9114
148,22200,-3.472
149,22350,-4.3502
150,22500,-26.3804
151,22650,-24.66
152,22800,-9.6022
153,22950,-18.5971
154,23100,-26.4004
155,23250,-4.1259
156,23400,-10.4794
157,23550,-28.7474
158,23700,-30.2366
159,23850,-22.05
160,24000,-19.2854
161,24150,-20.7582
162,24300,-16.71
163,24450,-20.7641
164,24600,-16.8795
165,24750,-3.2892
166,24900,-6.2728
167,25050,-20.6615
168,25200,-8.3662
169,25350,-19.3729
170,25500,-11.8505
171,25650,-11.6911
172,25800,-11.6106
173,25950,-16.1293
174,26100,-9.1131
175,26250,-15.8604
176,26400,-5.5604
177,26550,-5.4395
178,26700,-3.5642
179,26850,2.8937
180,27000,-10.5851
181,27150,-11.2541
182,27300,-10.4158
183,27450,-15.4346
184,27600,4.9841
185,27750,7.0757
186,27900,-10.4581
187,28050,-29.8797
188,28200,3.6743
189,28350,-17.8685
190,28500,-11.9872
191,28650,-6.3929
192,28800,-11.3818
193,28950,-14.206
194,29100,-14.5969
195,29250,-24.1555
196,29400,-29.8609
197,29550,-15.7617
198,29700,-6.2754
199,29850,-6.9161
200,30000,-26.5264
201,30150,3.5767
202,30300,-14.1698
203,30450,4.5207
204,30600,6.3379
205,30750,2.3991
206,30900,-3.6804
207,31050,-9.6061
208,31200,-6.6004
209,31350,-7.7164
210,31500,7.0203
211,31650,-20.3132
212,31800,-8.3273
213,31950,-14.3795
214,32100,-7.7749
215,32250,-13.3332
216,32400,-15.5324
217,32550,-15.5591
218,32700,-15.0908
219,32850,-26.3837
220,33000,4.1818
221,33150,-32.197
222,33300,-29.425
223,33450,-12.7924
224,33600,-2.3097
225,33750,6.6628
226,33900,-3.5583
227,34050,-19.5648
228,34200,-10.3172
229,34350,-8.2721
230,34500,-3.0029
231,34650,-6.9937
232,34800,-25.2098
233,34950,-21.9703
234,35100,-28.1818
235,35250,0.6289
236,35400,-22.8453
237,35550,11.7551
238,35700,-11.2969
239,35850,7.6786
240,36000,-6.7275
241,36150,-24.8786
242,36300,1.1638
243,36450,7.7477
244,36600,-4.6269
245,36750,-17.1649
246,36900,-4.5105
247,37050,-13.6373
248,37200,-11.0963
249,37350,-30.9216
250,37500,-8.5766
251,37650,-30.2294
252,37800,-9.9582
253,37950,-24.1705
254,38100,-1.2088
255,38250,0.4387
256,38400,-32.9675
257,38550,-27.4968
258,38700,-15.5686
259,38850,-15.0313
260,39000,0.8299
261,39150,-15.4735
262,39300,-12.3249
263,39450,-22.2185
264,39600,5.0775
265,39750,12.542
266,39900,-13.3409
267,40050,3.5772
268,40200,-8.1258
269,40350,-12.06
270,40500,-22.0316
271,40650,-32.5558
272,40800,-2.0999
273,40950,-28.2178
274,41100,-1.388
275,41250,-5.0368
276,41400,-1.6718
277,41550,-12.4743
278,41700,18.0258
279,41850,-37.3309
280,42000,19.2765
281,42150,-3.0526
282,42300,-16.1787
283,42450,-23.3225
284,42600,-11.3838
285,42750,-6.531
286,42900,-11.485
287,43050,-10.0288
288,43200,15.826
289,43350,2.314
290,43500,0.3119
291,43650,1.714
292,43800,-16.9928
293,43950,13.3566
294,44100,-9.0268
