time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/success_rate,time/episodes,train/learning_rate,train/loss,train/n_updates
150,-17.458354,0.9928750000000003,0,150.0,7099,0.0,1,,,
300,-12.156316,0.98575,0,150.0,7286,0.0,2,,,
450,-10.112500666666667,0.9786250000000003,0,150.0,7369,0.0,3,,,
600,-10.924072500000001,0.9715,0,150.0,7369,0.0,4,,,
750,-10.2108956,0.9643750000000002,0,150.0,7356,0.0,5,,,
900,-9.463803333333333,0.9572499999999999,0,150.0,7346,0.0,6,,,
1050,-11.406416714285715,0.9501250000000002,0,150.0,7056,0.0,7,0.0003,0.03801519423723221,12
1200,-12.394067375,0.943,0,150.0,6522,0.0,8,0.0003,0.007206730544567108,49
1350,-12.366686555555555,0.9358750000000002,0,150.0,6148,0.0,9,0.0003,0.01626501977443695,87
1500,-10.7445109,0.92875,0,150.0,5888,0.0,10,0.0003,0.008589317090809345,124
1650,-11.124399090909092,0.9216250000000002,0,150.0,5675,0.0,11,0.0003,0.023520752787590027,162
1800,-10.758488999999999,0.9145,0,150.0,5519,0.0,12,0.0003,0.008023804053664207,199
1950,-10.849489230769231,0.9073750000000002,0,150.0,5384,0.0,13,0.0003,0.008182970806956291,237
2100,-11.28714592857143,0.9002499999999999,0,150.0,5251,0.0,14,0.0003,0.012704726308584213,274
2250,-11.4666476,0.8931250000000002,0,150.0,5156,0.0,15,0.0003,0.02302567847073078,312
2400,-11.772641125,0.8859999999999999,0,150.0,5069,0.0,16,0.0003,0.04183221235871315,349
2550,-12.087960647058823,0.8788750000000002,0,150.0,4998,0.0,17,0.0003,0.029318511486053467,387
2700,-12.649144499999998,0.8717499999999999,0,150.0,4940,0.0,18,0.0003,0.037325575947761536,424
2850,-12.658392736842105,0.8646250000000002,0,150.0,4894,0.0,19,0.0003,0.015361025929450989,462
3000,-13.33165315,0.8574999999999999,0,150.0,4851,0.0,20,0.0003,0.021283993497490883,499
