time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/success_rate,time/episodes,train/learning_rate,train/loss,train/n_updates
150,-17.42197,0.9928750000000003,0,150.0,6976,0.0,1,,,
300,-12.276760000000001,0.98575,0,150.0,7185,0.0,2,,,
450,-13.205857333333334,0.9786250000000003,0,150.0,7259,0.0,3,,,
600,-15.165966000000001,0.9715,0,150.0,7250,0.0,4,,,
750,-15.4867342,0.9643750000000002,0,150.0,7254,0.0,5,,,
900,-14.834205000000003,0.9572499999999999,0,150.0,7259,0.0,6,,,
1050,-14.092939857142857,0.9501250000000002,0,150.0,6990,0.0,7,0.0005,0.06393098086118698,12
1200,-13.807577,0.943,0,150.0,6458,0.0,8,0.0005,0.015089326538145542,49
1350,-13.578628,0.9358750000000002,0,150.0,6079,0.0,9,0.0005,0.004338555037975311,87
1500,-14.566343799999999,0.92875,0,150.0,5821,0.0,10,0.0005,0.0170828178524971,124
1650,-15.07802518181818,0.9216250000000002,0,150.0,5629,0.0,11,0.0005,0.021329358220100403,162
1800,-15.614888749999999,0.9145,0,150.0,5459,0.0,12,0.0005,0.017917418852448463,199
1950,-15.998400846153846,0.9073750000000002,0,150.0,5325,0.0,13,0.0005,0.004945568740367889,237
2100,-15.39966257142857,0.9002499999999999,0,150.0,5218,0.0,14,0.0005,0.04333116486668587,274
2250,-15.445791333333334,0.8931250000000002,0,150.0,5046,0.0,15,0.0005,0.02244223654270172,312
2400,-14.650335937500001,0.8859999999999999,0,150.0,4954,0.0,16,0.0005,0.011813818477094173,349
2550,-14.246095764705885,0.8788750000000002,0,150.0,4893,0.0,17,0.0005,0.02305072359740734,387
2700,-14.325923277777779,0.8717499999999999,0,150.0,4834,0.0,18,0.0005,0.015388250350952148,424
2850,-13.89177257894737,0.8646250000000002,0,150.0,4783,0.0,19,0.0005,0.008219589479267597,462
3000,-13.983828250000002,0.8574999999999999,0,150.0,4735,0.0,20,0.0005,0.01637886092066765,499
3150,-13.793366000000002,0.8503750000000001,0,150.0,4692,0.0,21,0.0005,0.030584100633859634,537
3300,-13.698322545454547,0.8432499999999998,0,150.0,4664,0.0,22,0.0005,0.04159632697701454,574
3450,-13.62537739130435,0.8361250000000001,0,150.0,4635,0.0,23,0.0005,0.041591159999370575,612
3600,-13.309450083333333,0.8289999999999998,0,150.0,4605,0.0,24,0.0005,0.04486263543367386,649
3750,-13.11640956,0.8218750000000001,0,150.0,4576,0.0,25,0.0005,0.015596043318510056,687
3900,-13.541542038461538,0.8147499999999999,0,150.0,4552,0.0,26,0.0005,0.017925512045621872,724
4050,-13.805291888888886,0.807625,0,150.0,4529,0.0,27,0.0005,0.05492691695690155,762
4200,-13.962338035714284,0.8004999999999999,0,150.0,4513,0.0,28,0.0005,0.020242657512426376,799
4350,-13.657468551724136,0.7933750000000002,0,150.0,4494,0.0,29,0.0005,0.035058245062828064,837
4500,-13.854438433333334,0.7862499999999998,1,150.0,4476,0.0,30,0.0005,0.05907373130321503,874
4650,-13.938214516129033,0.7791250000000001,1,150.0,4461,0.0,31,0.0005,0.031035682186484337,912
4800,-14.328397468750001,0.7719999999999998,1,150.0,4449,0.0,32,0.0005,0.031764134764671326,949
4950,-14.01290472727273,0.7648750000000001,1,150.0,4418,0.0,33,0.0005,0.019140122458338737,987
5100,-13.772503029411766,0.7577499999999998,1,150.0,4404,0.0,34,0.0005,0.03650693595409393,1024
5250,-13.682968257142859,0.7506250000000001,1,150.0,4392,0.0,35,0.0005,0.0354875847697258,1062
5400,-13.250352555555558,0.7434999999999998,1,150.0,4377,0.0,36,0.0005,0.02343590371310711,1099
5550,-13.433237135135137,0.736375,1,150.0,4365,0.0,37,0.0005,0.029611743986606598,1137
5700,-13.481705447368423,0.7292499999999997,1,150.0,4355,0.0,38,0.0005,0.03157978504896164,1174
5850,-13.747555769230772,0.7221250000000001,1,150.0,4342,0.0,39,0.0005,0.026073982939124107,1212
6000,-13.8177551,0.7149999999999997,1,150.0,4332,0.0,40,0.0005,0.043727755546569824,1249
6150,-13.881601999999999,0.707875,1,150.0,4322,0.0,41,0.0005,0.03106875531375408,1287
6300,-14.017740595238095,0.7007500000000003,1,150.0,4313,0.0,42,0.0005,0.019966360181570053,1324
6450,-13.805640627906975,0.693625,1,150.0,4304,0.0,43,0.0005,0.043520353734493256,1362
6600,-13.45679543181818,0.6864999999999998,1,150.0,4297,0.0,44,0.0005,0.025027254596352577,1399
6750,-13.451322377777776,0.6793750000000001,1,150.0,4289,0.0,45,0.0005,0.04341186583042145,1437
6900,-13.345760478260868,0.6722500000000002,1,150.0,4282,0.0,46,0.0005,0.03871455788612366,1474
7050,-13.183986212765957,0.665125,1,150.0,4275,0.0,47,0.0005,0.036496445536613464,1512
7200,-13.176111020833332,0.6580000000000004,1,150.0,4267,0.0,48,0.0005,0.029585886746644974,1549
7350,-13.195689795918367,0.650875,1,150.0,4259,0.0,49,0.0005,0.055293913930654526,1587
7500,-13.04766206,0.6437500000000003,1,150.0,4254,0.0,50,0.0005,0.07614761590957642,1624
