time/total_timesteps,rollout/ep_rew_mean,train/entropy,train/policy_loss,train/value_loss
600,-16.8398,2.191,-0.0167,0.0
1200,-15.8576,2.1915,-0.022,0.0
1800,-15.5963,2.1905,-0.0188,0.0
2400,-16.8009,2.191,-0.0264,0.0
3000,-16.0959,2.1897,-0.0201,0.0
3600,-15.438,2.1876,-0.0335,0.0
4200,-16.1678,2.1857,-0.0187,0.0
4800,-15.7506,2.1844,-0.0109,0.0
5400,-15.9299,2.1829,-0.0208,0.0
6000,-15.8296,2.1831,-0.0222,0.0
6600,-15.5912,2.1804,-0.0186,0.0
7200,-16.0017,2.1801,-0.0253,0.0
7800,-15.8386,2.1769,-0.0066,0.0
8400,-15.8739,2.1785,-0.0187,0.0
9000,-15.4278,2.178,-0.016,0.0
9600,-15.2204,2.1795,-0.0179,0.0
10200,-15.3721,2.1783,-0.0209,0.0
10800,-15.1178,2.1772,-0.0372,0.0
11400,-15.2249,2.174,-0.0444,0.0
12000,-15.1329,2.1735,-0.0239,0.0
12600,-15.2709,2.1714,-0.0352,0.0
13200,-14.8539,2.1703,-0.0189,0.0
13800,-14.9223,2.1678,-0.0246,0.0
14400,-14.7135,2.165,-0.0185,0.0
15000,-14.6891,2.1635,-0.0054,0.0
15600,-14.8677,2.1539,-0.0232,0.0
16200,-14.8398,2.1572,-0.028,0.0
16800,-14.9365,2.1555,-0.0088,0.0
17400,-14.793,2.1552,-0.015,0.0
18000,-15.1822,2.1527,-0.0374,0.0
18600,-15.1854,2.1535,-0.0149,0.0
19200,-14.8705,2.1551,-0.0316,0.0
19800,-15.0129,2.1514,-0.0283,0.0
20400,-14.9233,2.1509,-0.011,0.0
21000,-14.9455,2.1482,-0.0057,0.0
21600,-15.0595,2.1454,-0.0184,0.0
22200,-14.882,2.1491,-0.0129,0.0
22800,-15.0941,2.1503,-0.0172,0.0
23400,-15.1939,2.1461,-0.0078,0.0
24000,-15.6316,2.1545,0.0012,0.0
24600,-15.9659,2.1531,-0.0345,0.0
25200,-15.6226,2.1574,-0.0225,0.0
25800,-15.6932,2.1557,-0.0053,0.0
26400,-15.5577,2.1618,-0.0435,0.0
27000,-15.4457,2.1636,-0.0324,0.0
27600,-15.2391,2.163,-0.0171,0.0
28200,-15.5486,2.1618,-0.033,0.0
28800,-15.4492,2.1612,-0.0245,0.0
29400,-15.4518,2.1615,-0.0217,0.0
30000,-15.5423,2.1613,-0.0101,0.0
30600,-15.3652,2.1627,-0.0348,0.0
31200,-15.4838,2.1603,-0.0269,0.0
31800,-15.3647,2.1597,-0.0085,0.0
32400,-15.1921,2.1626,-0.0329,0.0
33000,-14.8833,2.156,-0.0401,0.0
33600,-14.9609,2.1623,-0.0322,0.0
34200,-14.8709,2.1585,-0.0402,0.0
34800,-14.7046,2.1569,-0.0427,0.0
35400,-14.3673,2.1587,-0.0255,0.0
36000,-14.4201,2.1473,-0.0307,0.0
36600,-14.3355,2.145,-0.0234,0.0
37200,-14.2598,2.1507,-0.0102,0.0
37800,-14.1652,2.1434,-0.0344,0.0
38400,-14.0264,2.1492,0.0014,0.0
39000,-13.949,2.1468,-0.0254,0.0
39600,-13.6452,2.1465,-0.0211,0.0
40200,-13.8699,2.1451,-0.048,0.0
40800,-13.8943,2.1432,-0.0036,0.0
41400,-13.7963,2.1536,-0.0247,0.0
42000,-14.0588,2.1505,-0.0297,0.0
42600,-13.8949,2.1404,-0.0269,0.0
43200,-14.0211,2.1366,-0.0447,0.0
43800,-14.2579,2.1342,-0.0304,0.0
44400,-14.4638,2.1303,-0.0267,0.0
