time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/policy_loss,train/entropy_loss,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean
4791,1,0,64,,,,,,,,,
3989,2,0,128,0.0007,0.16752970218658447,0.259280800819397,1,-0.0005696024745702744,-2.1972146034240723,,,
4756,3,0,192,0.0007,-0.28037095069885254,0.6576120257377625,2,-0.7484152317047119,-2.1813015937805176,,,
5286,4,0,256,0.0007,-0.16054582595825195,2.212520122528076,3,-1.3094449043273926,-2.1760780811309814,,,
5753,5,0,320,0.0007,0.11637282371520996,1.8905168771743774,4,-2.1895976066589355,-2.164581298828125,,,
5984,6,0,384,0.0007,0.2795521020889282,1.9571166038513184,5,-2.3058528900146484,-2.1694493293762207,,,
6275,7,0,448,0.0007,0.29879194498062134,1.4678618907928467,6,-2.070183515548706,-2.1507363319396973,,,
6531,8,0,512,0.0007,0.22633802890777588,1.889538049697876,7,-1.9192051887512207,-2.147545337677002,,,
6756,9,0,576,0.0007,0.039914608001708984,2.460329055786133,8,-2.683319568634033,-2.17340087890625,,,
6897,10,0,640,0.0007,-0.04976511001586914,2.943701982498169,9,-3.115076780319214,-2.1596269607543945,0.0,-19.96462825,150.0
6976,11,0,704,0.0007,0.19207125902175903,0.670974850654602,10,0.42100614309310913,-2.1450841426849365,0.0,-19.96462825,150.0
7022,12,0,768,0.0007,-0.1046990156173706,0.37283724546432495,11,-0.6974380016326904,-2.098748207092285,0.0,-19.96462825,150.0
7077,13,0,832,0.0007,0.03299969434738159,0.8723231554031372,12,-1.2401801347732544,-2.0686535835266113,0.0,-19.96462825,150.0
7142,14,0,896,0.0007,-0.0690382719039917,0.8989999890327454,13,-0.5232456922531128,-2.085991621017456,0.0,-19.96462825,150.0
7170,15,0,960,0.0007,-0.018276453018188477,0.7766667604446411,14,-0.571809709072113,-2.087012767791748,0.0,-19.96462825,150.0
7225,16,0,1024,0.0007,0.008601486682891846,0.5988113880157471,15,-0.39828434586524963,-2.0949440002441406,0.0,-19.96462825,150.0
7166,17,0,1088,0.0007,0.009972155094146729,2.0469417572021484,16,-1.8047343492507935,-2.0778908729553223,0.0,-19.96462825,150.0
7168,18,0,1152,0.0007,0.0077841877937316895,0.6735391020774841,17,-1.1257991790771484,-2.113922595977783,0.0,-19.96462825,150.0
7135,19,0,1216,0.0007,-0.028350234031677246,1.7277036905288696,18,-0.5259435176849365,-2.102759838104248,0.0,-18.777189375,150.0
7164,20,0,1280,0.0007,0.12526154518127441,0.7956101894378662,19,-1.0165374279022217,-2.114269733428955,0.0,-18.777189375,150.0
7141,21,0,1344,0.0007,0.08723533153533936,0.20082202553749084,20,0.6998808979988098,-2.0896458625793457,0.0,-18.777189375,150.0
7170,22,0,1408,0.0007,-0.09294211864471436,0.17737093567848206,21,0.6029984951019287,-2.094444751739502,0.0,-18.777189375,150.0
7137,23,0,1472,0.0007,0.018688738346099854,3.4472854137420654,22,1.8951112031936646,-2.0926461219787598,0.0,-18.777189375,150.0
7128,24,0,1536,0.0007,0.1410449743270874,0.7317951917648315,23,0.00849902629852295,-2.124953269958496,0.0,-18.777189375,150.0
7145,25,0,1600,0.0007,0.28572171926498413,0.7234851121902466,24,-0.7195143699645996,-2.127004623413086,0.0,-18.777189375,150.0
7161,26,0,1664,0.0007,0.24758672714233398,0.858525276184082,25,-0.21035301685333252,-2.1304733753204346,0.0,-18.777189375,150.0
7185,27,0,1728,0.0007,0.15473222732543945,0.5099422931671143,26,-0.7968683242797852,-2.130189895629883,0.0,-18.777189375,150.0
7170,28,0,1792,0.0007,0.1699390411376953,1.448529839515686,27,-1.269972324371338,-2.101823329925537,0.0,-18.777189375,150.0
7119,29,0,1856,0.0007,0.12867045402526855,1.1060473918914795,28,-1.345733404159546,-2.1296932697296143,0.0,-16.555763250000002,150.0
7062,30,0,1920,0.0007,0.1448337435722351,0.8506741523742676,29,1.2834097146987915,-2.108208656311035,0.0,-16.555763250000002,150.0
7027,31,0,1984,0.0007,0.09141284227371216,1.2291921377182007,30,1.5472381114959717,-2.103026866912842,0.0,-16.555763250000002,150.0
7015,32,0,2048,0.0007,0.15813809633255005,1.1622064113616943,31,1.041996955871582,-2.1101858615875244,0.0,-16.555763250000002,150.0
7006,33,0,2112,0.0007,-0.23666846752166748,0.9942484498023987,32,1.1953938007354736,-2.131258964538574,0.0,-16.555763250000002,150.0
7019,34,0,2176,0.0007,-0.062282443046569824,0.8388009667396545,33,0.32583606243133545,-2.1371607780456543,0.0,-16.555763250000002,150.0
7029,35,0,2240,0.0007,-0.06973457336425781,0.8546919822692871,34,-1.2392011880874634,-2.1281886100769043,0.0,-16.555763250000002,150.0
7032,36,0,2304,0.0007,-0.009943842887878418,2.6749727725982666,35,-1.7509362697601318,-2.1212751865386963,0.0,-16.555763250000002,150.0
7035,37,0,2368,0.0007,-0.14995145797729492,1.4453630447387695,36,-1.695937991142273,-2.114103317260742,0.0,-16.555763250000002,150.0
7042,38,0,2432,0.0007,-0.020992398262023926,3.5362470149993896,37,-3.4022297859191895,-2.1048409938812256,0.0,-16.000157,150.0
7054,39,0,2496,0.0007,0.5252491235733032,0.5801401734352112,38,-0.1631864756345749,-2.1052639484405518,0.0,-16.000157,150.0
7074,40,0,2560,0.0007,0.1402982473373413,0.3886442184448242,39,0.688151478767395,-2.0856432914733887,0.0,-16.000157,150.0
7090,41,0,2624,0.0007,0.41299957036972046,0.32541486620903015,40,-0.292938768863678,-2.090818405151367,0.0,-16.000157,150.0
7101,42,0,2688,0.0007,0.3511357307434082,1.0348423719406128,41,-0.18092980980873108,-2.0864415168762207,0.0,-16.000157,150.0
7124,43,0,2752,0.0007,-0.658103346824646,0.48454493284225464,42,-0.7174535393714905,-2.063110113143921,0.0,-16.000157,150.0
7139,44,0,2816,0.0007,0.15978926420211792,2.020831823348999,43,-2.3150854110717773,-2.0696449279785156,0.0,-16.000157,150.0
7093,45,0,2880,0.0007,0.03729379177093506,2.141573429107666,44,-2.5935606956481934,-2.0851693153381348,0.0,-16.000157,150.0
7091,46,0,2944,0.0007,-0.051900625228881836,2.4841322898864746,45,-2.734370708465576,-2.095987558364868,0.0,-16.000157,150.0
