rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,rollout/success_rate,time/total_timesteps,train/learning_rate,train/loss,train/n_updates
0.9982187499999999,-26.212302,150.0,0,1,6993,0.0,150,,,
0.9964374999999999,-14.9808655,150.0,0,2,7217,0.0,300,,,
0.9946562499999998,-14.852264,150.0,0,3,7301,0.0,450,,,
0.9928750000000003,-15.83678325,150.0,0,4,7350,0.0,600,,,
0.9910937500000002,-14.600983,150.0,0,5,7373,0.0,750,,,
0.9893125000000002,-13.742549833333333,150.0,0,6,7397,0.0,900,,,
0.9875312500000001,-14.789571714285714,150.0,0,7,5784,0.0,1050,0.0005,0.010227625258266926,12
0.98575,-14.840142125,150.0,0,8,5551,0.0,1200,0.0005,0.009441094473004341,49
0.98396875,-15.663620777777778,150.0,0,9,5380,0.0,1350,0.0005,0.005808292888104916,87
0.9821874999999999,-15.636420800000002,150.0,0,10,5230,0.0,1500,0.0005,0.008094211108982563,124
0.9804062499999998,-15.936051454545456,150.0,0,11,5128,0.0,1650,0.0005,0.011395890265703201,162
0.9786250000000003,-15.1550435,150.0,0,12,5052,0.0,1800,0.0005,0.010076998732984066,199
0.9768437500000002,-14.849421,150.0,0,13,4970,0.0,1950,0.0005,0.007546484936028719,237
0.9750625000000002,-14.852541285714285,150.0,0,14,4918,0.0,2100,0.0005,0.019706662744283676,274
0.9732812500000001,-15.837193933333333,150.0,0,15,4855,0.0,2250,0.0005,0.01848728582262993,312
0.9715,-16.0064730625,150.0,0,16,4800,0.0,2400,0.0005,0.010960463434457779,349
0.96971875,-16.227854882352943,150.0,0,17,4762,0.0,2550,0.0005,0.006513514090329409,387
0.9679374999999999,-15.392934333333333,150.0,0,18,4730,0.0,2700,0.0005,0.013362995348870754,424
0.9661562499999998,-14.813436789473682,150.0,0,19,4698,0.0,2850,0.0005,0.019290346652269363,462
0.9643750000000002,-14.821162499999996,150.0,0,20,4672,0.0,3000,0.0005,0.02750789374113083,499
0.9625937500000001,-15.364468571428569,150.0,0,21,4647,0.0,3150,0.0005,0.024482760578393936,537
0.9608125000000001,-15.42628586363636,150.0,0,22,4628,0.0,3300,0.0005,0.017468098551034927,574
0.95903125,-14.936767869565214,150.0,0,23,4609,0.0,3450,0.0005,0.0165720134973526,612
0.9572499999999999,-14.679424666666668,150.0,0,24,4593,0.0,3600,0.0005,0.013391233049333096,649
0.9554687499999999,-14.54645252,150.0,0,25,4575,0.0,3750,0.0005,0.02216959372162819,687
0.9536874999999998,-14.423644192307693,150.0,0,26,4563,0.0,3900,0.0005,0.012006870470941067,724
0.9519062499999997,-14.299732074074074,150.0,0,27,4547,0.0,4050,0.0005,0.027751337736845016,762
0.9501250000000002,-13.88510582142857,150.0,0,28,4536,0.0,4200,0.0005,0.02804006077349186,799
0.9483437500000002,-13.884494965517241,150.0,0,29,4522,0.0,4350,0.0005,0.04776804521679878,837
0.9465625000000001,-13.691422600000001,150.0,0,30,4508,0.0,4500,0.0005,0.01562950387597084,874
0.94478125,-13.852858935483871,150.0,1,31,4494,0.0,4650,0.0005,0.023061048239469528,912
0.943,-13.920954437499999,150.0,1,32,4485,0.0,4800,0.0005,0.04054277017712593,949
0.9412187499999999,-13.81797996969697,150.0,1,33,4474,0.0,4950,0.0005,0.05981192737817764,987
0.9394374999999998,-13.754411470588236,150.0,1,34,4465,0.0,5100,0.0005,0.03586916625499725,1024
0.9376562499999997,-13.521489085714286,150.0,1,35,4456,0.0,5250,0.0005,0.02464332804083824,1062
0.9358750000000002,-13.356830611111112,150.0,1,36,4450,0.0,5400,0.0005,0.037034738808870316,1099
0.9340937500000002,-13.254649432432434,150.0,1,37,4442,0.0,5550,0.0005,0.03049897402524948,1137
0.9323125000000001,-13.361467921052633,150.0,1,38,4437,0.0,5700,0.0005,0.0422525592148304,1174
0.93053125,-13.591649743589743,150.0,1,39,4429,0.0,5850,0.0005,0.055636145174503326,1212
0.92875,-13.424015524999998,150.0,1,40,4424,0.0,6000,0.0005,0.055576857179403305,1249
0.9269687499999999,-13.382929219512192,150.0,1,41,4418,0.0,6150,0.0005,0.055843815207481384,1287
0.9251874999999998,-13.312029523809521,150.0,1,42,4413,0.0,6300,0.0005,0.0750989243388176,1324
0.9234062500000003,-13.41071437209302,150.0,1,43,4407,0.0,6450,0.0005,0.03649607673287392,1362
0.9216250000000002,-13.494028681818179,150.0,1,44,4403,0.0,6600,0.0005,0.058678511530160904,1399
0.9198437500000002,-13.398752866666666,150.0,1,45,4398,0.0,6750,0.0005,0.03865594044327736,1437
0.9180625,-13.327125478260868,150.0,1,46,4394,0.0,6900,0.0005,0.06053085997700691,1474
0.9162812499999999,-13.338841659574467,150.0,1,47,4387,0.0,7050,0.0005,0.026155108585953712,1512
0.9145,-13.197493770833333,150.0,1,48,4384,0.0,7200,0.0005,0.08217379450798035,1549
0.9127187499999999,-13.195178020408163,150.0,1,49,4378,0.0,7350,0.0005,0.03873460367321968,1587
0.9109374999999998,-13.0627119,150.0,1,50,4374,0.0,7500,0.0005,0.04814126342535019,1624
0.9091562500000002,-13.066706529411764,150.0,1,51,4370,0.0,7650,0.0005,0.017911378294229507,1662
0.9073750000000002,-12.989131788461538,150.0,1,52,4366,0.0,7800,0.0005,0.027741780504584312,1699
0.9055937500000001,-13.086087018867923,150.0,1,53,4361,0.0,7950,0.0005,0.05466369539499283,1737
0.9038125,-12.96973848148148,150.0,1,54,4357,0.0,8100,0.0005,0.06868527829647064,1774
0.90203125,-12.713786127272728,150.0,1,55,4353,0.0,8250,0.0005,0.04332677274942398,1812
0.9002499999999999,-12.736076374999998,150.0,1,56,4350,0.0,8400,0.0005,0.05334635078907013,1849
0.8984687499999998,-12.79944584210526,150.0,1,57,4347,0.0,8550,0.0005,0.03592095151543617,1887
0.8966874999999997,-12.838502327586204,150.0,2,58,4343,0.0,8700,0.0005,0.013169861398637295,1924
0.8949062500000002,-12.710149610169488,150.0,2,59,4339,0.0,8850,0.0005,0.046750184148550034,1962
0.8931250000000002,-12.632846849999996,150.0,2,60,4337,0.0,9000,0.0005,0.020271144807338715,1999
0.8913437500000001,-12.499238131147537,150.0,2,61,4333,0.0,9150,0.0005,0.07896594703197479,2037
0.8895625,-12.468454080645158,150.0,2,62,4329,0.0,9300,0.0005,0.0446440652012825,2074
0.88778125,-12.618669793650792,150.0,2,63,4321,0.0,9450,0.0005,0.046721942722797394,2112
0.8859999999999999,-12.524716484375,150.0,2,64,4315,0.0,9600,0.0005,0.034656308591365814,2149
0.8842187499999998,-12.402949092307692,150.0,2,65,4305,0.0,9750,0.0005,0.07848349213600159,2187
0.8824374999999998,-12.15641259090909,150.0,2,66,4300,0.0,9900,0.0005,0.02648758329451084,2224
0.8806562500000003,-12.151251507462685,150.0,2,67,4296,0.0,10050,0.0005,0.07095901668071747,2262
0.8788750000000002,-12.117171499999998,150.0,2,68,4295,0.0,10200,0.0005,0.03636763244867325,2299
0.8770937500000001,-12.103991434782609,150.0,2,69,4292,0.0,10350,0.0005,0.044855449348688126,2337
0.8753125,-12.037912514285713,150.0,2,70,4289,0.0,10500,0.0005,0.08694687485694885,2374
0.87353125,-12.069377971830987,150.0,2,71,4285,0.0,10650,0.0005,0.03300148993730545,2412
0.8717499999999999,-12.009288708333335,150.0,2,72,4283,0.0,10800,0.0005,0.08190228044986725,2449
0.8699687499999998,-12.039432575342467,150.0,2,73,4281,0.0,10950,0.0005,0.04942230507731438,2487
0.8681874999999998,-11.929049648648649,150.0,2,74,4279,0.0,11100,0.0005,0.08296789228916168,2524
0.8664062500000003,-12.106752853333335,150.0,2,75,4277,0.0,11250,0.0005,0.05008061230182648,2562
0.8646250000000002,-12.05107932894737,150.0,2,76,4275,0.0,11400,0.0005,0.05108880251646042,2599
0.8628437500000001,-12.068938935064937,150.0,2,77,4272,0.0,11550,0.0005,0.03679425269365311,2637
0.8610625000000001,-11.916929243589745,150.0,2,78,4270,0.0,11700,0.0005,0.03664370998740196,2674
0.85928125,-11.709834341772153,150.0,2,79,4268,0.0,11850,0.0005,0.08437368273735046,2712
0.8574999999999999,-11.81801795,150.0,2,80,4267,0.0,12000,0.0005,0.03535512462258339,2749
0.8557187499999999,-11.763641086419753,150.0,2,81,4264,0.0,12150,0.0005,0.06985203176736832,2787
0.8539374999999998,-11.668321329268291,150.0,2,82,4262,0.0,12300,0.0005,0.06727069616317749,2824
0.8521562500000002,-11.636899277108434,150.0,2,83,4261,0.0,12450,0.0005,0.10096099227666855,2862
0.8503750000000001,-11.485009035714285,150.0,2,84,4258,0.0,12600,0.0005,0.07714223861694336,2899
0.84859375,-11.479838223529411,150.0,2,85,4256,0.0,12750,0.0005,0.07622367143630981,2937
0.8468125,-11.493952790697673,150.0,3,86,4256,0.0,12900,0.0005,0.031061163172125816,2974
0.8450312499999999,-11.502659942528734,150.0,3,87,4254,0.0,13050,0.0005,0.09583371132612228,3012
0.8432499999999998,-11.437950625000001,150.0,3,88,4253,0.0,13200,0.0005,0.06408137828111649,3049
0.8414687499999998,-11.353725033707866,150.0,3,89,4253,0.0,13350,0.0005,0.04171217232942581,3087
0.8396875000000003,-11.302629088888889,150.0,3,90,4252,0.0,13500,0.0005,0.06675165891647339,3124
