episode,total_timesteps,reward
1,150,-14.6168
2,300,-15.5776
3,450,-15.239
4,600,-33.9918
5,750,-24.9399
6,900,-18.1205
7,1050,-13.8892
8,1200,-8.2657
9,1350,-15.8071
10,1500,-13.6716
11,1650,-16.6574
12,1800,-8.0368
13,1950,-12.729
14,2100,-10.8236
15,2250,-14.6275
16,2400,-16.288
17,2550,-18.3955
18,2700,-19.1606
19,2850,-29.8839
20,3000,-28.6352
21,3150,-24.3661
22,3300,-9.8673
23,3450,-5.0326
24,3600,-18.3025
25,3750,-18.5177
26,3900,-13.0166
27,4050,-11.4661
28,4200,-17.6618
29,4350,-7.6802
30,4500,-22.5969
31,4650,-16.4607
32,4800,-9.1866
33,4950,-14.5718
34,5100,-20.4911
35,5250,-12.0962
36,5400,-23.828
37,5550,-22.0945
38,5700,-19.0859
39,5850,-18.1654
40,6000,-11.8308
41,6150,-12.6403
42,6300,-24.452
43,6450,-15.2981
44,6600,-16.4173
45,6750,-20.7964
46,6900,-22.0212
47,7050,-17.6076
48,7200,-28.6239
49,7350,-29.1781
50,7500,-10.4157
51,7650,-17.0862
52,7800,-32.9884
53,7950,-6.947
54,8100,-16.1398
55,8250,-26.6283
56,8400,-18.2615
57,8550,-22.1069
58,8700,-18.1009
59,8850,-15.3859
60,9000,-21.0424
61,9150,-13.901
62,9300,-21.751
63,9450,-19.0012
64,9600,-23.9043
65,9750,-17.8004
66,9900,-13.4328
67,10050,-18.4016
68,10200,-23.4752
69,10350,-20.4075
70,10500,-12.2093
71,10650,-19.0404
72,10800,-24.32
73,10950,-25.8959
74,11100,-6.9514
75,11250,-25.9807
76,11400,-23.2851
77,11550,-22.3803
78,11700,-20.501
79,11850,-18.2438
80,12000,-19.4251
81,12150,-7.4942
82,12300,-8.9538
83,12450,-4.9665
84,12600,-20.7247
85,12750,-24.7546
86,12900,-24.2382
87,13050,-21.4035
88,13200,-17.6354
89,13350,-10.8963
90,13500,-13.2786
91,13650,-25.944
92,13800,-14.8973
93,13950,-19.49
94,14100,-11.661
95,14250,-18.0103
96,14400,-15.663
97,14550,-18.1227
98,14700,-8.7986
99,14850,-4.0354
100,15000,-16.1978
101,15150,-10.5075
102,15300,-18.2768
103,15450,-21.8161
104,15600,-9.3447
105,15750,-25.167
106,15900,-14.9383
107,16050,-15.1646
108,16200,-13.8975
109,16350,-15.0182
110,16500,-14.7172
111,16650,-15.1131
112,16800,-19.384
113,16950,-10.9784
114,17100,-9.8251
115,17250,-17.5116
116,17400,-9.0918
117,17550,-1.3367
118,17700,-0.9894
119,17850,-17.9839
120,18000,-13.8504
121,18150,-18.0865
122,18300,-6.9003
123,18450,-11.4714
124,18600,-15.061
125,18750,-6.4776
126,18900,-13.5594
127,19050,-11.4327
128,19200,-13.6107
129,19350,-10.2393
130,19500,-15.6707
131,19650,-14.9686
132,19800,-27.5102
133,19950,-21.1388
134,20100,-7.8336
135,20250,-11.6099
136,20400,-22.6221
137,20550,-16.3747
138,20700,-14.8181
139,20850,-7.2685
140,21000,-19.1322
141,21150,-19.2272
142,21300,-17.339
143,21450,-18.3453
144,21600,-18.421
145,21750,-20.0049
146,21900,-19.3763
147,22050,-18.4503
148,22200,-16.0753
149,22350,-16.5314
150,22500,-23.9913
151,22650,-21.8722
152,22800,-16.6722
153,22950,-11.3354
154,23100,-16.7609
155,23250,-4.0266
156,23400,-2.1538
157,23550,-25.4259
158,23700,-7.7956
159,23850,-11.3102
160,24000,-16.2656
161,24150,-22.631
162,24300,-22.7868
163,24450,-8.8335
164,24600,-19.1184
165,24750,-18.2395
166,24900,-14.2911
167,25050,-16.0723
168,25200,-8.6778
169,25350,-20.1858
170,25500,-13.2204
171,25650,-16.5627
172,25800,-15.8494
173,25950,-21.2459
174,26100,-9.0241
175,26250,-20.7225
176,26400,-25.9468
177,26550,-17.1466
178,26700,-5.0381
179,26850,-17.8988
180,27000,-20.3663
181,27150,-9.7528
182,27300,-18.5088
183,27450,-22.1663
184,27600,-21.1391
185,27750,-3.6777
186,27900,-22.7826
187,28050,-16.6505
188,28200,-8.6661
189,28350,-9.5954
190,28500,-18.9883
191,28650,-17.6809
192,28800,-19.0753
193,28950,-20.313
194,29100,-17.9253
195,29250,-14.345
196,29400,-8.0523
197,29550,-10.9702
198,29700,-13.9553
199,29850,-17.742
200,30000,-12.0901
201,30150,-9.2625
202,30300,-21.1327
203,30450,-14.9196
204,30600,-4.2828
205,30750,-1.7355
206,30900,-7.3063
207,31050,-8.0314
208,31200,-16.2546
209,31350,-4.9468
210,31500,-15.2623
211,31650,-18.5914
212,31800,-16.7481
213,31950,-19.8276
214,32100,-16.0989
215,32250,-14.3189
216,32400,-5.7844
217,32550,-23.732
218,32700,-18.9851
219,32850,-16.2766
220,33000,-15.2067
221,33150,-13.8079
222,33300,-17.9184
223,33450,-14.6069
224,33600,-13.4586
225,33750,-12.0078
226,33900,-8.7858
227,34050,-17.3744
228,34200,-10.5323
229,34350,-18.0806
230,34500,-10.6449
231,34650,-19.5027
232,34800,-15.1288
233,34950,-10.4037
234,35100,-18.7779
235,35250,-17.3223
236,35400,-15.7802
237,35550,-12.3274
238,35700,-23.6538
239,35850,-23.055
240,36000,-26.354
241,36150,-21.968
242,36300,-6.3391
243,36450,-18.8623
244,36600,-19.5269
245,36750,-1.8803
246,36900,-14.0315
247,37050,-6.6894
248,37200,-12.1825
249,37350,-6.8219
250,37500,-14.6515
251,37650,-11.3528
252,37800,-3.2688
253,37950,-23.0291
254,38100,-10.1519
255,38250,-8.2806
256,38400,-6.8991
257,38550,-19.2876
258,38700,-12.5329
259,38850,-8.4737
260,39000,-14.935
261,39150,-12.9327
262,39300,-19.0234
263,39450,-12.637
264,39600,-16.27
265,39750,-7.1038
266,39900,-9.152
267,40050,-16.1041
268,40200,-6.2602
269,40350,-9.2884
270,40500,-8.6822
271,40650,-21.8842
272,40800,-8.5126
273,40950,-12.1231
274,41100,-11.5897
275,41250,-23.9195
276,41400,-20.4313
277,41550,4.405
278,41700,-14.1941
279,41850,-14.1684
280,42000,-5.8699
281,42150,-13.0483
282,42300,-14.688
283,42450,-0.4287
284,42600,-8.9279
285,42750,-18.211
286,42900,-18.3807
287,43050,-9.5528
288,43200,-13.6927
289,43350,0.0766
290,43500,1.474
291,43650,-14.4819
292,43800,-18.5516
293,43950,-19.8866
294,44100,-7.1159
295,44250,-25.9112
296,44400,-1.292
297,44550,-5.855
298,44700,-7.0787
299,44850,-17.3667
300,45000,-19.7465
301,45150,-12.1576
302,45300,-12.275
303,45450,-15.7412
304,45600,-6.2165
305,45750,-11.366
306,45900,-30.405
307,46050,-18.1043
308,46200,-6.7128
309,46350,-15.8014
310,46500,-8.9776
311,46650,-18.1958
312,46800,-17.8226
313,46950,-18.1892
314,47100,-15.242
315,47250,-7.97
316,47400,-22.3503
317,47550,-13.493
318,47700,-2.4715
319,47850,-14.3063
320,48000,-18.8635
321,48150,-17.2538
322,48300,-3.4399
323,48450,-11.2608
324,48600,-19.1946
325,48750,-14.1739
326,48900,-11.1771
327,49050,-20.2984
328,49200,-20.3641
329,49350,-23.6939
330,49500,-5.0795
331,49650,-20.7788
332,49800,-16.4868
333,49950,-18.8695
334,50100,-7.2548
335,50250,-13.1474
336,50400,-12.343
337,50550,-14.5473
338,50700,-17.8055
339,50850,-12.4965
340,51000,-19.3759
341,51150,-8.9484
342,51300,-9.9686
343,51450,-10.3072
344,51600,-10.2112
345,51750,-13.0754
346,51900,-10.794
347,52050,-13.1542
348,52200,-6.7307
349,52350,-3.367
350,52500,-9.5224
351,52650,-19.2919
352,52800,-12.913
353,52950,-7.8939
354,53100,-10.0151
355,53250,-3.8609
356,53400,-15.5276
357,53550,-14.3118
358,53700,-11.7553
359,53850,-15.6893
360,54000,-13.0973
361,54150,-11.9931
362,54300,5.7238
363,54450,-24.3969
364,54600,-16.6067
365,54750,-17.0875
366,54900,-29.1873
367,55050,-1.9096
368,55200,-23.0788
369,55350,-17.8638
370,55500,-7.9859
371,55650,-12.055
372,55800,-15.5544
373,55950,-24.3146
374,56100,-15.3277
375,56250,-23.0893
376,56400,-15.9358
377,56550,-13.0918
378,56700,-3.9115
379,56850,-21.5088
380,57000,-15.8192
381,57150,-12.0294
382,57300,-4.0315
383,57450,-6.6502
384,57600,-25.9503
385,57750,-26.7387
386,57900,-20.8258
387,58050,-16.3836
388,58200,-22.8169
389,58350,-11.3933
390,58500,-16.8853
391,58650,-26.2104
392,58800,-14.5871
393,58950,-16.1547
394,59100,-16.769
395,59250,-26.7663
396,59400,-15.4573
397,59550,-24.2011
398,59700,-4.2612
399,59850,-3.0126
400,60000,-23.9969
401,60150,-15.399
402,60300,-13.3791
403,60450,-4.9127
404,60600,-15.6767
405,60750,-19.5265
406,60900,-9.0996
407,61050,-29.1678
408,61200,-12.0887
409,61350,-18.1332
410,61500,-21.1171
411,61650,-22.7106
412,61800,-21.9756
413,61950,-8.4719
414,62100,-16.4163
415,62250,-20.3577
416,62400,-27.4382
417,62550,-17.6461
418,62700,-12.8577
419,62850,-4.6628
420,63000,-19.3172
421,63150,-15.6786
422,63300,-12.7775
423,63450,-16.8037
424,63600,-18.2244
425,63750,-18.6161
426,63900,-21.0981
427,64050,-16.0064
428,64200,-9.8902
429,64350,-25.7881
430,64500,-23.2532
431,64650,-8.1076
432,64800,-26.1235
433,64950,-7.5074
434,65100,-19.0127
435,65250,-16.9423
436,65400,-20.3383
437,65550,-14.6893
438,65700,-22.6476
439,65850,-15.6837
440,66000,-12.8853
441,66150,-7.4291
442,66300,-9.2283
443,66450,-26.6124
444,66600,-17.645
445,66750,-13.8777
446,66900,-5.1284
447,67050,-13.8511
448,67200,-17.9169
449,67350,-10.99
450,67500,-26.7661
451,67650,-23.5056
452,67800,-13.2519
453,67950,-23.918
454,68100,-29.3056
455,68250,-32.0515
456,68400,-19.3456
457,68550,-12.6703
458,68700,-16.7327
459,68850,-13.6571
460,69000,-12.9896
461,69150,-12.0415
462,69300,-27.9421
463,69450,-25.3406
464,69600,-10.0018
465,69750,-20.8632
466,69900,-21.4959
467,70050,-19.9772
468,70200,-22.6649
469,70350,-26.2568
470,70500,-28.8023
471,70650,-28.104
472,70800,-31.2744
473,70950,-31.3295
474,71100,-21.3552
475,71250,-18.8501
476,71400,-28.686
477,71550,-14.3598
478,71700,-26.5773
479,71850,-32.5726
480,72000,-10.6981
481,72150,-31.8205
482,72300,-26.2176
483,72450,-10.7726
484,72600,-31.1654
485,72750,-28.825
486,72900,-28.839
487,73050,-15.739
488,73200,-14.0805
489,73350,-18.6394
490,73500,-22.5007
491,73650,-29.5331
492,73800,-10.2667
493,73950,-7.829
494,74100,-23.3607
495,74250,-3.5506
496,74400,-10.0859
497,74550,-20.1252
498,74700,-18.6858
499,74850,-10.2406
500,75000,-18.6496
501,75150,1.9528
502,75300,-7.0812
503,75450,-7.2575
504,75600,-21.0329
505,75750,-5.7521
506,75900,-10.6533
507,76050,-16.9811
508,76200,-7.6789
509,76350,-8.2553
510,76500,-14.7041
511,76650,-8.3663
512,76800,-14.1962
513,76950,-14.8711
514,77100,-17.0817
515,77250,-15.5181
516,77400,-5.1595
517,77550,-12.5228
518,77700,-10.7056
519,77850,-10.2858
520,78000,-7.6687
521,78150,-16.0609
522,78300,-9.8086
523,78450,-11.5878
524,78600,-14.4077
525,78750,-0.2769
526,78900,-7.6539
527,79050,-15.2545
528,79200,-12.9727
529,79350,-9.0329
530,79500,-6.0933
531,79650,-19.6801
532,79800,-10.0517
533,79950,-23.92
534,80100,-6.2169
535,80250,1.1789
536,80400,-9.6795
537,80550,-9.0996
538,80700,-8.1113
539,80850,-4.7561
540,81000,-5.8716
541,81150,-18.5233
542,81300,-8.5963
543,81450,-33.459
544,81600,-14.2057
545,81750,-11.4465
546,81900,-12.6188
547,82050,-13.9143
548,82200,-10.7869
549,82350,-4.0217
550,82500,-15.7654
551,82650,-12.2987
552,82800,-23.9126
553,82950,-6.2472
554,83100,-16.159
555,83250,-13.2871
556,83400,-5.8239
557,83550,-13.7567
558,83700,-7.9836
559,83850,-7.0836
560,84000,-15.7586
561,84150,-14.1358
562,84300,-18.6572
563,84450,-13.5481
564,84600,-13.8534
565,84750,-9.0295
566,84900,-14.6436
567,85050,-16.8468
568,85200,-6.8405
569,85350,-19.0154
570,85500,-12.5292
571,85650,-8.2103
572,85800,-10.7957
573,85950,-19.5865
574,86100,-16.7796
575,86250,-8.6486
576,86400,-14.9359
577,86550,-12.0031
578,86700,-12.7562
579,86850,-13.082
580,87000,-16.2781
581,87150,-3.1403
582,87300,-6.0035
583,87450,-21.5343
584,87600,-12.0113
585,87750,-10.4947
586,87900,-17.2081
587,88050,-9.5021
588,88200,-13.1135
589,88350,-12.7474
590,88500,-15.5913
591,88650,-4.5396
592,88800,-11.5857
