time/total_timesteps,rollout/ep_rew_mean,train/entropy,train/policy_loss,train/value_loss
300,-15.0972,2.1919,-6.1312,8.5041
600,-19.8563,2.1824,-1.5611,29.5406
900,-20.4143,2.1747,-0.1563,22.2084
1200,-18.0801,2.1594,4.3772,24.5668
1500,-17.4119,2.1474,1.3721,5.3174
1800,-16.5678,2.128,1.6371,12.1773
2100,-15.8833,2.0905,0.9422,6.2746
2400,-15.8301,2.0834,-3.1669,16.1474
2700,-16.1576,2.068,-2.5203,22.2144
3000,-17.4678,2.0641,-3.5727,60.9471
3300,-17.4359,2.0274,-0.9473,12.9105
3600,-16.9552,2.0488,1.0487,11.8503
3900,-16.8638,2.0265,0.0993,6.5771
4200,-16.6995,2.074,1.0576,14.3967
4500,-16.5955,2.0684,-0.2762,22.3614
4800,-16.3597,2.0655,0.5346,4.417
5100,-16.4287,2.0704,-1.3074,8.0704
5400,-16.5139,2.0622,-1.1631,12.9978
5700,-16.7284,2.0908,-1.7035,9.0944
6000,-16.6419,2.0865,1.5017,10.8726
6300,-16.7326,2.0958,0.5718,8.5716
6600,-16.6928,2.1345,0.432,2.3882
6900,-16.8978,2.1057,-3.543,3.4609
7200,-17.1569,2.1279,-1.0696,14.2604
7500,-17.2625,2.1348,0.8,28.2401
7800,-17.5615,2.1208,-0.2589,17.9945
8100,-17.3387,2.1221,3.617,14.754
8400,-17.521,2.1121,-2.0492,20.799
8700,-17.6101,2.1018,-1.5894,4.0162
9000,-17.6302,2.0717,0.1758,5.0255
9300,-17.6365,2.0966,0.3121,7.342
9600,-17.7558,2.0775,-2.2428,4.9077
9900,-17.691,2.0441,0.9643,7.9753
10200,-17.7865,2.0488,-1.4345,4.8257
10500,-17.7443,2.0681,1.8616,11.01
10800,-17.8536,1.9816,-1.0031,4.0746
11100,-17.8149,1.975,0.1722,28.1741
11400,-17.9944,1.9889,-1.9003,13.6422
11700,-18.0827,1.9363,0.1322,3.7854
12000,-18.1015,1.9473,1.1553,2.6025
12300,-17.8606,1.9772,6.1545,13.4888
12600,-17.7412,1.9419,-0.2191,23.3073
12900,-17.8983,1.9734,-4.8986,43.4508
13200,-17.9351,1.9984,-3.4405,11.0616
13500,-17.8052,1.954,1.4892,8.121
13800,-17.862,1.9806,-0.9125,13.4196
14100,-17.8134,1.9719,0.1525,5.9718
14400,-17.793,1.9301,-0.1626,2.8285
14700,-17.7046,1.9882,2.1782,10.1055
15000,-17.5529,2.0624,3.3451,16.8501
15300,-17.5388,1.9963,0.0419,4.5991
15600,-17.3581,1.9822,-0.0507,7.9744
15900,-17.3285,2.048,-1.7781,16.7919
16200,-17.3976,1.9902,1.7263,3.2673
16500,-17.4002,2.026,0.5614,2.0019
16800,-17.4982,2.0257,-1.4225,8.0102
17100,-17.4707,2.0607,1.4978,7.1975
17400,-17.4276,2.0474,1.6384,7.7177
17700,-17.0753,2.0849,11.3045,32.1972
18000,-16.8084,2.0629,-2.3444,11.3758
18300,-16.716,2.0503,-0.6336,9.7877
18600,-16.7479,1.9973,0.126,5.1209
18900,-16.633,2.0387,0.2688,5.7775
19200,-16.5921,2.0604,-1.0138,2.4612
19500,-16.5484,2.0511,-0.5061,4.1969
19800,-16.7168,2.0247,-2.1917,18.0396
20100,-16.6559,2.0111,-0.1301,9.7385
20400,-16.6389,1.9743,0.3721,8.6367
20700,-16.5391,1.9738,0.4849,5.3859
21000,-16.5031,2.0096,0.3316,8.3526
21300,-16.4978,1.9495,-3.6964,28.5036
21600,-16.5484,1.971,-3.5175,15.6511
21900,-16.514,2.0149,-3.1071,9.9558
22200,-16.3969,2.0068,-0.3228,2.9535
22500,-16.4062,2.0448,-0.2437,9.2526
22800,-16.2909,2.0284,0.6025,4.4742
23100,-16.341,2.0621,3.2455,8.2758
23400,-15.9539,2.1039,4.0974,18.6439
23700,-15.8841,2.0743,-1.1282,26.3257
24000,-15.7955,2.1196,-1.804,3.8519
24300,-15.8932,2.0661,-4.4113,27.4936
24600,-15.7437,2.1009,0.0222,8.075
24900,-15.7566,2.092,0.1849,7.5841
25200,-15.5854,2.111,0.6913,5.236
25500,-15.5933,2.1251,-1.6701,6.3891
25800,-15.4838,2.1228,-1.8837,1.4403
26100,-15.458,2.1297,0.4653,16.7952
26400,-15.432,2.1222,-1.2849,11.4086
26700,-15.2251,2.1452,1.9835,21.6321
27000,-15.231,2.132,-0.2894,4.1909
27300,-15.3492,2.1168,2.2174,9.9905
27600,-15.5253,2.1577,-2.8955,8.6585
27900,-15.3,2.1315,0.8961,25.5108
28200,-15.1628,2.1579,1.4068,6.1689
28500,-15.2068,2.1471,-0.3836,4.9382
28800,-15.166,2.1396,-2.2681,7.204
29100,-15.2369,2.1527,-2.8347,3.7196
29400,-15.1241,2.1467,3.5927,12.428
29700,-15.1042,2.1369,5.2885,5.7073
30000,-15.2001,2.141,0.8594,3.6358
30300,-15.2162,2.1567,-0.4959,9.9262
30600,-15.0967,2.1465,1.5926,10.676
30900,-14.786,2.1498,6.1996,14.7037
31200,-14.7383,2.1499,-0.1787,4.994
31500,-14.643,2.1492,-0.1399,6.9987
31800,-14.6514,2.157,-3.7251,7.8
32100,-14.8027,2.1375,-1.9156,6.6476
32400,-14.7377,2.1502,2.4056,17.3711
32700,-15.1416,2.1537,-1.174,8.6389
33000,-15.1381,2.1504,0.7917,9.5052
33300,-15.2055,2.1591,0.6107,2.4693
33600,-15.2208,2.1628,1.6889,5.0615
33900,-15.2284,2.1619,1.8418,6.2789
34200,-15.257,2.1662,-1.5731,7.8056
34500,-15.2851,2.1508,-1.7227,10.3981
34800,-15.2067,2.1599,-3.6638,5.1173
35100,-15.2088,2.1404,-0.2655,6.2847
35400,-15.1975,2.1345,-0.7675,2.2277
35700,-15.2453,2.1423,0.207,8.8045
36000,-15.4754,2.1274,-2.6318,16.001
36300,-15.3928,2.1279,1.1774,25.8164
36600,-15.4091,2.1226,0.2253,3.0708
36900,-15.1744,2.1346,2.2461,16.1873
37200,-15.0178,2.1128,2.7494,2.9739
37500,-14.8273,2.1306,-0.6006,11.1807
37800,-14.5881,2.1253,0.1787,6.2304
38100,-14.639,2.1193,-2.2237,25.1823
38400,-14.729,2.0973,1.5262,1.9637
38700,-14.7149,2.1134,-4.1176,26.7401
39000,-14.6733,2.0985,-1.9822,4.4127
39300,-14.5387,2.0925,-2.3558,8.4811
39600,-14.5482,2.1126,-0.6017,5.3053
39900,-14.3855,2.1051,5.4655,17.041
40200,-14.3616,2.0775,1.5837,12.5272
40500,-14.2072,2.0785,3.919,2.8872
