episode,total_timesteps,reward
1,150,-17.2362
2,300,-8.6372
3,450,-16.2566
4,600,-14.7818
5,750,-16.6134
6,900,-11.1139
7,1050,-13.0277
8,1200,-26.2162
9,1350,-23.1082
10,1500,-16.1666
11,1650,-26.7679
12,1800,-27.7128
13,1950,-21.1377
14,2100,-14.2686
15,2250,-17.9397
16,2400,-13.5929
17,2550,-25.9151
18,2700,-16.3211
19,2850,-22.0143
20,3000,-12.7314
21,3150,-11.0056
22,3300,-24.0015
23,3450,-23.0118
24,3600,-8.4601
25,3750,-14.8478
26,3900,-5.6426
27,4050,-4.725
28,4200,-7.5044
29,4350,-13.1137
30,4500,-11.875
31,4650,4.754
32,4800,0.5347
33,4950,-17.1907
34,5100,-7.9822
35,5250,-8.606
36,5400,0.3849
37,5550,-4.9485
38,5700,-14.1014
39,5850,-21.8745
40,6000,-22.5352
41,6150,-16.629
42,6300,-23.7313
43,6450,1.6632
44,6600,-10.5079
45,6750,-2.7992
46,6900,1.0551
47,7050,-25.9022
48,7200,-19.7997
49,7350,-11.8999
50,7500,-8.4039
51,7650,-15.7546
52,7800,-30.0569
53,7950,-10.5826
54,8100,-13.9413
55,8250,-17.9383
56,8400,-17.5589
57,8550,-10.8693
58,8700,-18.9127
59,8850,-13.3777
60,9000,-9.6963
61,9150,-17.7749
62,9300,-0.0616
63,9450,-22.0404
64,9600,-2.831
65,9750,-21.8007
66,9900,-5.2167
67,10050,-5.1437
68,10200,-23.6347
69,10350,-14.1119
70,10500,-7.8003
71,10650,-7.3058
72,10800,-19.6234
73,10950,3.4329
74,11100,-11.7792
75,11250,-12.3148
76,11400,-2.9652
77,11550,-24.6147
78,11700,-17.3894
79,11850,-13.8112
80,12000,-8.9121
81,12150,6.7902
82,12300,-17.6534
83,12450,-8.4544
84,12600,-17.8692
85,12750,-12.3953
86,12900,-16.4568
87,13050,-9.7191
88,13200,-25.7677
89,13350,-7.6654
90,13500,-3.1884
91,13650,-11.7093
92,13800,-27.1676
93,13950,-28.973
94,14100,-21.2589
95,14250,-20.3589
96,14400,-19.5382
97,14550,-6.582
98,14700,-23.5364
99,14850,-28.6801
100,15000,-12.8082
101,15150,-20.8182
102,15300,-13.2519
103,15450,-13.9493
104,15600,-11.1115
105,15750,1.3446
106,15900,-5.7168
107,16050,2.6306
108,16200,-13.1279
109,16350,-19.2754
110,16500,-0.2684
111,16650,-6.1092
112,16800,-22.1829
113,16950,-6.1461
114,17100,3.9761
115,17250,-1.6973
116,17400,-6.9981
117,17550,-4.0155
118,17700,-12.6031
119,17850,-23.0614
120,18000,-14.7855
121,18150,-13.0116
122,18300,-16.3682
123,18450,-11.1953
124,18600,-17.3868
125,18750,-30.7705
126,18900,-17.5759
127,19050,-17.7001
128,19200,-7.1978
129,19350,-21.7409
130,19500,-3.8998
131,19650,-13.7795
132,19800,2.2785
133,19950,-13.1733
134,20100,-31.9623
135,20250,-17.4432
136,20400,8.5775
137,20550,-34.7086
138,20700,-1.874
139,20850,-16.336
140,21000,-21.4061
141,21150,-5.7771
142,21300,1.3366
143,21450,5.6974
144,21600,-0.2591
145,21750,-6.511
146,21900,-18.9611
147,22050,-14.9867
148,22200,-3.4148
149,22350,-22.6537
150,22500,-25.1225
151,22650,-17.2241
152,22800,-8.8752
153,22950,0.0771
154,23100,2.8038
155,23250,-10.4208
156,23400,-17.8937
157,23550,6.1681
158,23700,9.4523
159,23850,-15.4184
160,24000,0.9485
161,24150,-31.3985
162,24300,-11.8134
163,24450,-7.1813
164,24600,2.2218
165,24750,-24.6065
166,24900,-31.408
167,25050,-28.1586
168,25200,15.3034
169,25350,-24.2419
170,25500,-12.2739
171,25650,-2.5882
172,25800,-36.377
173,25950,-12.1082
174,26100,-17.3539
175,26250,-27.6931
176,26400,-18.4468
177,26550,6.0676
178,26700,-23.4482
179,26850,-13.5382
180,27000,-13.6764
181,27150,-4.1013
182,27300,-12.9704
183,27450,-2.8313
184,27600,-31.1522
185,27750,-9.9607
186,27900,-11.1145
187,28050,-1.3927
188,28200,-6.428
189,28350,-3.9247
190,28500,-18.6846
191,28650,-8.7712
192,28800,-17.0753
193,28950,-11.9108
194,29100,-3.6434
195,29250,-6.0278
196,29400,1.4759
197,29550,-30.8152
198,29700,-12.5105
199,29850,-3.447
200,30000,-25.8917
201,30150,10.5945
202,30300,-13.0429
203,30450,-8.8041
204,30600,-30.3332
205,30750,-16.9101
206,30900,-4.8042
207,31050,-13.0702
208,31200,-10.0878
209,31350,-9.8612
210,31500,-12.8634
211,31650,10.8827
212,31800,-5.7291
213,31950,-18.4358
214,32100,-8.5451
215,32250,-8.8654
216,32400,-9.6553
217,32550,-10.3511
218,32700,16.4988
219,32850,-2.332
220,33000,-20.4868
221,33150,-19.8593
222,33300,0.8102
223,33450,-31.8579
224,33600,-9.8109
225,33750,-6.4477
226,33900,-7.4657
227,34050,-10.2864
228,34200,-8.2268
229,34350,-8.0241
230,34500,-2.4492
231,34650,-6.3427
232,34800,9.1352
233,34950,-20.042
234,35100,-5.1727
235,35250,-19.8697
236,35400,-21.6307
237,35550,-18.5459
238,35700,-21.3917
239,35850,6.4654
240,36000,14.9355
241,36150,4.285
242,36300,-12.821
243,36450,4.2038
244,36600,-36.4452
245,36750,10.9183
246,36900,-9.3382
247,37050,-14.8307
248,37200,-4.5535
249,37350,-7.6917
250,37500,-17.1147
251,37650,-13.7389
252,37800,-16.0808
253,37950,9.6576
254,38100,-9.4292
255,38250,-11.073
256,38400,-7.8614
257,38550,-10.3256
258,38700,-9.1827
259,38850,10.3669
260,39000,-15.9398
261,39150,-13.4034
262,39300,15.2283
263,39450,-13.5334
264,39600,-8.4933
265,39750,-13.5674
266,39900,11.1588
267,40050,-9.234
268,40200,-14.8332
269,40350,14.047
270,40500,3.4441
271,40650,-6.1029
272,40800,-11.5018
273,40950,-20.7317
274,41100,8.8172
275,41250,-13.0095
276,41400,-12.1831
277,41550,-3.4932
278,41700,-4.2967
279,41850,15.9421
280,42000,-21.6858
281,42150,-9.7896
282,42300,-1.2209
283,42450,-0.5683
284,42600,-7.0774
285,42750,-0.2854
286,42900,1.7664
287,43050,9.8733
288,43200,-22.62
289,43350,-0.3289
290,43500,-2.8987
291,43650,-11.8281
292,43800,15.7619
293,43950,-20.9428
294,44100,14.2929
295,44250,-23.3494
296,44400,1.1933
297,44550,-25.9213
298,44700,-4.9107
299,44850,16.97
300,45000,-6.2106
301,45150,-13.3784
302,45300,-1.0976
303,45450,-10.8733
304,45600,17.151
305,45750,-2.1335
306,45900,-9.5727
307,46050,-17.0356
308,46200,-9.1962
309,46350,-15.521
310,46500,-16.1003
311,46650,-25.3262
312,46800,-4.6139
313,46950,-12.7609
314,47100,-10.9447
315,47250,11.6426
316,47400,5.2919
317,47550,2.3576
318,47700,9.1725
319,47850,-15.9617
320,48000,-15.5282
321,48150,-4.355
322,48300,-8.6297
323,48450,3.6335
324,48600,2.6471
325,48750,16.1555
326,48900,6.5637
327,49050,-10.4988
328,49200,10.3663
329,49350,-7.7885
330,49500,2.2163
331,49650,-5.81
332,49800,12.2051
