time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/success_rate,time/episodes,train/learning_rate,train/loss,train/n_updates
150,-17.236237,0.9928750000000003,0,150.0,7393,0.0,1,,,
300,-12.936727999999999,0.98575,0,150.0,7453,0.0,2,,,
450,-14.043360666666667,0.9786250000000003,0,150.0,7474,0.0,3,,,
600,-14.227967750000001,0.9715,0,150.0,7423,0.0,4,,,
750,-14.705055800000002,0.9643750000000002,0,150.0,7289,0.0,5,,,
900,-14.106524166666668,0.9572499999999999,0,150.0,7320,0.0,6,,,
1050,-13.952412714285716,0.9501250000000002,0,150.0,7023,0.0,7,0.0003,0.006380798295140266,12
1200,-15.485388749999998,0.943,0,150.0,6522,0.0,8,0.0003,0.021282000467181206,49
1350,-16.332369222222223,0.9358750000000002,0,150.0,6106,0.0,9,0.0003,0.023595690727233887,87
1500,-16.3157908,0.92875,0,150.0,5841,0.0,10,0.0003,0.02914782054722309,124
1650,-17.265981454545454,0.9216250000000002,0,150.0,5640,0.0,11,0.0003,0.02283710241317749,162
1800,-18.136546749999997,0.9145,0,150.0,5484,0.0,12,0.0003,0.011952264234423637,199
1950,-18.36740746153846,0.9073750000000002,0,150.0,5348,0.0,13,0.0003,0.008188070729374886,237
2100,-18.074632428571427,0.9002499999999999,0,150.0,5228,0.0,14,0.0003,0.02601787820458412,274
2250,-18.065634866666663,0.8931250000000002,0,150.0,5139,0.0,15,0.0003,0.016966724768280983,312
2400,-17.786087375,0.8859999999999999,0,150.0,5065,0.0,16,0.0003,0.004879243206232786,349
2550,-18.264262647058825,0.8788750000000002,0,150.0,5000,0.0,17,0.0003,0.013074547983705997,387
2700,-18.15630677777778,0.8717499999999999,0,150.0,4938,0.0,18,0.0003,0.004940889775753021,424
2850,-18.359357421052636,0.8646250000000002,0,150.0,4883,0.0,19,0.0003,0.009578283876180649,462
3000,-18.077960450000003,0.8574999999999999,0,150.0,4842,0.0,20,0.0003,0.009405196644365788,499
3150,-17.741180190476193,0.8503750000000001,0,150.0,4806,0.0,21,0.0003,0.021765567362308502,537
3300,-18.025740090909096,0.8432499999999998,0,150.0,4767,0.0,22,0.0003,0.011129756458103657,574
3450,-18.24252573913044,0.8361250000000001,0,150.0,4735,0.0,23,0.0003,0.007953858003020287,612
3600,-17.834923333333332,0.8289999999999998,0,150.0,4707,0.0,24,0.0003,0.01895471289753914,649
3750,-17.715437839999996,0.8218750000000001,0,150.0,4680,0.0,25,0.0003,0.029851075261831284,687
3900,-17.251096153846152,0.8147499999999999,0,150.0,4660,0.0,26,0.0003,0.012459233403205872,724
4050,-16.787166518518514,0.807625,0,150.0,4637,0.0,27,0.0003,0.033769190311431885,762
4200,-16.455638178571427,0.8004999999999999,0,150.0,4618,0.0,28,0.0003,0.025752156972885132,799
4350,-16.34039844827586,0.7933750000000002,0,150.0,4602,0.0,29,0.0003,0.018490394577383995,837
4500,-16.19155203333333,0.7862499999999998,0,150.0,4574,0.0,30,0.0003,0.015835637226700783,874
4650,-15.515889290322578,0.7791250000000001,1,150.0,4550,0.0,31,0.0003,0.029576826840639114,912
4800,-15.014309718749999,0.7719999999999998,1,150.0,4535,0.0,32,0.0003,0.02181210368871689,949
