time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/clip_range
1024,1,-22.05667,10439,150.0,0.0,0,,,,,,,,,,
2048,2,-15.684024416666666,6499,150.0,0.0,0,0.03277623653411865,-2.1878494739532472,-0.020925255777547135,10,1.0923331633210183,0.14187146723270416,0.0003,0.012892249,0.13779296875,0.2
3072,3,-13.429132349999998,5901,150.0,0.0,0,0.3426629900932312,-2.179860420525074,-0.015449603748857043,20,0.6117856628261507,0.08693832159042358,0.0003,0.010101648,0.05791015625,0.2
4096,4,-13.741523999999998,5671,150.0,0.0,0,0.4918493628501892,-2.16379504352808,-0.013559259625617414,30,0.7018263099715114,0.1596783548593521,0.0003,0.0071466984,0.0458984375,0.2
5120,5,-14.4248814375,5550,150.0,0.0,0,0.4387392997741699,-2.1562129333615303,-0.018196942110080272,40,0.6550892982631922,0.11934652924537659,0.0003,0.011528043,0.0869140625,0.2
6144,6,-15.130816349999998,5455,150.0,0.0,1,0.5540377497673035,-2.133161473274231,-0.01957003435236402,50,0.5940862947143615,0.1112930029630661,0.0003,0.01111295,0.08681640625,0.2
7168,7,-15.501961045454545,5391,150.0,0.0,1,0.5373216867446899,-2.134009586274624,-0.025149084106669762,60,0.5450900136493146,0.05059191584587097,0.0003,0.013297001,0.12587890625,0.2
8192,8,-14.920673884615383,5351,150.0,0.0,1,0.6159499883651733,-2.121817424893379,-0.023663085550651886,70,0.6048782310448587,0.06655396521091461,0.0003,0.014493685,0.15751953125,0.2
9216,9,-15.158410749999998,5317,150.0,0.0,1,0.7875890731811523,-2.1359917253255842,-0.01879943847307004,80,0.44508091672323646,0.0345374196767807,0.0003,0.0085006645,0.0712890625,0.2
10240,10,-15.204839132352943,5298,150.0,0.0,1,0.8109637498855591,-2.1430419221520425,-0.0172546693647746,90,0.7363582890480757,0.15621653199195862,0.0003,0.010002448,0.08359375,0.2
11264,11,-14.969340069444444,5159,150.0,0.0,2,0.7066797018051147,-2.128729481995106,-0.022274465538794176,100,0.4402158579789102,0.0950332060456276,0.0003,0.0149694625,0.134375,0.2
12288,12,-14.624816437499998,5155,150.0,0.0125,2,0.7572476267814636,-2.102306292951107,-0.016843972884817048,110,0.5319219189696014,0.10901428014039993,0.0003,0.0101005845,0.0814453125,0.2
13312,13,-14.466508500000002,5148,150.0,0.011363636363636364,2,0.5310081839561462,-2.089197835326195,-0.021527579211397096,120,0.48310530739836394,0.07774390280246735,0.0003,0.0122002745,0.1224609375,0.2
14336,14,-14.109298652173916,5148,150.0,0.010869565217391304,2,0.8218768835067749,-2.080748973786831,-0.022700328152859585,130,0.40965288067236544,0.04313169792294502,0.0003,0.015423202,0.14443359375,0.2
