rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/clip_range,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/loss,train/explained_variance,train/value_loss,train/entropy_loss
150.0,10609,0,0.0,-16.437887,2048,1,,,,,,,,,,
150.0,6737,0,0.0,-13.717862791666667,4096,2,0.2,10,-0.018455887534946668,0.11591796875,0.01131364,0.0003,0.14871971309185028,0.008259952068328857,0.6245459246914834,-2.186785312741995
150.0,6089,1,0.0,-14.104036400000002,6144,3,0.2,20,-0.01874003647462814,0.109716796875,0.011474188,0.0003,0.06406715512275696,0.4456879496574402,0.4824155363254249,-2.1725517235696317
150.0,5837,1,0.0,-14.096623000000001,8192,4,0.2,30,-0.018724697179277428,0.091064453125,0.012464965,0.0003,0.046685364097356796,0.598918080329895,0.440332335466519,-2.1655168540775778
150.0,5675,1,0.014705882352941176,-14.184522411764709,10240,5,0.2,40,-0.02161879864579532,0.127294921875,0.011457728,0.0003,0.06577175855636597,0.6082576513290405,0.48607393857091663,-2.141416145861149
150.0,5523,2,0.0125,-13.900398000000001,12288,6,0.2,50,-0.015413187208469025,0.073193359375,0.010234947,0.0003,0.03960423171520233,0.638455867767334,0.5789257809985429,-2.1217246308922766
150.0,5454,2,0.010869565217391304,-13.467110163043477,14336,7,0.2,60,-0.01985253691964317,0.11875,0.01247868,0.0003,0.03530328720808029,0.6934739351272583,0.43715948809403926,-2.1170158110558988
150.0,5403,3,0.01,-13.05131043,16384,8,0.2,70,-0.02619527233473491,0.128271484375,0.013237452,0.0003,0.006347991526126862,0.6682746410369873,0.4237614610698074,-2.1052516750991344
150.0,5358,3,0.01,-12.946106,18432,9,0.2,80,-0.01692088831186993,0.101611328125,0.011844175,0.0003,0.02018071711063385,0.6884708404541016,0.37642703817691653,-2.097353030741215
150.0,5260,3,0.01,-12.480480589999997,20480,10,0.2,90,-0.028451907077396754,0.17841796875,0.014556944,0.0003,0.01679249107837677,0.6558191180229187,0.3389566825935617,-2.1110470853745937
150.0,5252,4,0.01,-11.551693190000002,22528,11,0.2,100,-0.025207399400824216,0.16171875,0.012911977,0.0003,-0.015881337225437164,0.596625804901123,0.26564434396568687,-2.0895362265408037
150.0,5245,4,0.0,-11.32844736,24576,12,0.2,110,-0.02563743525824975,0.14296875,0.012786098,0.0003,-0.0020289942622184753,0.7678686380386353,0.2651360368123278,-2.08151756003499
150.0,5221,5,0.0,-9.70985702,26624,13,0.2,120,-0.0281218898948282,0.169189453125,0.016207017,0.0003,0.004324018955230713,0.7444673776626587,0.3467587449820712,-2.087521018087864
150.0,5176,5,0.0,-9.80221961,28672,14,0.2,130,-0.020835367281688378,0.13291015625,0.0111809755,0.0003,0.041587233543395996,0.6471902132034302,0.4322626923210919,-2.0779153026640413
150.0,5174,5,0.0,-9.36387023,30720,15,0.2,140,-0.025440486118895933,0.165576171875,0.014097543,0.0003,0.016178350895643234,0.6818852424621582,0.40263406208250674,-2.0325627010315657
150.0,5171,6,0.0,-8.70102651,32768,16,0.2,150,-0.02392445311706979,0.1634765625,0.016856898,0.0003,0.020778335630893707,0.8098517656326294,0.3197692149318755,-2.014502801001072
