time/total_timesteps,rollout/ep_rew_mean,train/entropy,train/policy_loss,train/value_loss
600,-19.1553,2.1933,-0.0276,0.0
1200,-15.2527,2.1826,-0.0166,0.0
1800,-16.5329,2.1735,-0.0197,0.0
2400,-16.904,2.167,-0.0202,0.0
3000,-16.0258,2.1677,-0.0266,0.0
3600,-16.3054,2.1624,-0.0245,0.0
4200,-15.8082,2.1573,-0.0324,0.0
4800,-16.5659,2.1479,-0.0195,0.0
5400,-16.223,2.1385,-0.0305,0.0
6000,-16.0026,2.1372,-0.0058,0.0
6600,-15.9738,2.1241,-0.0111,0.0
7200,-15.9852,2.1193,-0.0106,0.0
7800,-15.8809,2.1253,-0.0178,0.0
8400,-16.3295,2.1288,-0.0216,0.0
9000,-16.5789,2.1245,-0.0414,0.0
9600,-16.4913,2.1258,-0.005,0.0
10200,-16.35,2.125,-0.0287,0.0
10800,-15.9057,2.1172,-0.0367,0.0
11400,-15.7535,2.1181,-0.0363,0.0
12000,-15.5427,2.1142,-0.0249,0.0
12600,-15.8783,2.1105,0.0196,0.0
13200,-15.9123,2.1036,-0.0296,0.0
13800,-15.8894,2.106,0.012,0.0
14400,-15.8596,2.1067,-0.0323,0.0
15000,-15.8018,2.0965,-0.0094,0.0
15600,-15.5586,2.1074,-0.0367,0.0
16200,-15.8977,2.1031,-0.0129,0.0
16800,-15.8096,2.1008,-0.0233,0.0
17400,-15.543,2.1059,-0.0123,0.0
18000,-15.6733,2.1067,-0.0298,0.0
18600,-15.5606,2.1023,-0.0341,0.0
19200,-15.8348,2.0985,-0.0379,0.0
19800,-15.4215,2.0977,0.0067,0.0
20400,-15.6042,2.0857,-0.0225,0.0
21000,-15.805,2.0828,-0.0211,0.0
21600,-15.7843,2.082,-0.0096,0.0
22200,-15.8703,2.0884,-0.0574,0.0
22800,-15.7625,2.0954,-0.022,0.0
23400,-15.488,2.087,0.0061,0.0
24000,-15.5071,2.0851,-0.0083,0.0
24600,-15.4514,2.0998,-0.0301,0.0
25200,-15.567,2.0898,-0.0582,0.0
25800,-15.8791,2.1041,-0.0116,0.0
26400,-15.9035,2.0913,-0.0345,0.0
27000,-16.198,2.0902,-0.047,0.0
27600,-15.7539,2.0829,-0.0274,0.0
28200,-15.5355,2.0714,0.0402,0.0
28800,-15.7282,2.0807,-0.0334,0.0
29400,-15.8686,2.0685,-0.0275,0.0
30000,-16.0834,2.0704,-0.053,0.0
30600,-16.1418,2.0726,-0.0152,0.0
31200,-15.899,2.0786,-0.0416,0.0
31800,-15.9042,2.062,0.0293,0.0
32400,-16.1416,2.0767,-0.0214,0.0
33000,-16.0667,2.0593,-0.0526,0.0
33600,-16.1514,2.0654,-0.0465,0.0
34200,-16.1639,2.0581,-0.0159,0.0
34800,-16.3491,2.0534,-0.0215,0.0
35400,-16.3433,2.0096,0.0024,0.0
36000,-16.0937,2.0118,0.0011,0.0
36600,-16.2432,2.0084,0.0416,0.0
37200,-16.0153,2.0164,-0.0247,0.0
37800,-16.0612,2.0352,0.0003,0.0
38400,-16.2073,2.0409,0.0209,0.0
39000,-15.8607,2.0357,0.0031,0.0
39600,-15.8098,2.046,-0.023,0.0
40200,-15.6325,2.0332,0.0118,0.0
