episode,total_timesteps,reward
1,150,-7.8548
2,300,-16.615
3,450,-21.4514
4,600,-10.224
5,750,-19.9311
6,900,-2.3301
7,1050,-18.1006
8,1200,-23.5151
9,1350,-16.0789
10,1500,-10.4331
11,1650,-10.5892
12,1800,-4.524
13,1950,-10.3181
14,2100,-18.2187
15,2250,-12.3347
16,2400,-15.3472
17,2550,-13.7933
18,2700,-21.6174
19,2850,-10.6708
20,3000,-20.4464
21,3150,-1.5372
22,3300,0.7562
23,3450,-3.5859
24,3600,-7.0527
25,3750,-22.0268
26,3900,-9.7749
27,4050,-6.9027
28,4200,-10.5085
29,4350,-13.79
30,4500,-15.9258
31,4650,-25.0945
32,4800,-0.2305
33,4950,-10.0785
34,5100,-20.8728
35,5250,-14.9519
36,5400,-12.8764
37,5550,-11.1619
38,5700,-13.1369
39,5850,6.3487
40,6000,-4.1325
41,6150,-4.5072
42,6300,-13.2645
43,6450,-10.3611
44,6600,-12.6807
45,6750,-5.0434
46,6900,-7.9137
47,7050,-13.1273
48,7200,-5.6795
49,7350,-23.0869
50,7500,-15.6958
51,7650,-9.3209
52,7800,14.9897
53,7950,-11.728
54,8100,-11.8188
55,8250,-13.91
56,8400,-23.7596
57,8550,-7.5771
58,8700,-28.2839
59,8850,-4.1095
60,9000,-19.5823
61,9150,-0.1412
62,9300,-20.4157
63,9450,-20.1137
64,9600,-11.1667
65,9750,-5.9044
66,9900,-16.4711
67,10050,-3.6495
68,10200,-14.8982
69,10350,-3.8445
70,10500,-26.9015
71,10650,-8.0935
72,10800,-12.6528
73,10950,-21.0996
74,11100,-16.6916
75,11250,-34.7307
76,11400,1.1689
77,11550,-13.9117
78,11700,-9.8081
79,11850,-16.1351
80,12000,-3.8463
81,12150,-12.3559
82,12300,-23.4338
83,12450,-10.861
84,12600,-17.4808
85,12750,-15.3812
86,12900,-21.8562
87,13050,2.0517
88,13200,-6.9004
89,13350,-16.1563
90,13500,-10.2163
91,13650,-2.2019
92,13800,-2.6397
93,13950,-14.0439
94,14100,1.0465
95,14250,-20.0512
96,14400,-9.5495
97,14550,-22.1423
98,14700,-5.707
99,14850,-33.6053
100,15000,-7.4357
101,15150,-11.6764
102,15300,12.9554
103,15450,-24.2494
104,15600,-1.7854
105,15750,-11.042
106,15900,-14.8596
107,16050,-26.602
108,16200,3.0266
109,16350,-13.1641
110,16500,8.6234
111,16650,-10.982
112,16800,-28.4099
113,16950,-31.69
114,17100,-9.9561
115,17250,-4.6973
116,17400,-16.0003
117,17550,-26.9858
118,17700,-20.616
119,17850,-9.3574
120,18000,-18.7264
121,18150,-32.3157
122,18300,-14.9511
123,18450,-10.8888
124,18600,-8.7206
125,18750,-5.0803
126,18900,-3.9334
127,19050,-2.2517
128,19200,-10.7673
129,19350,-10.8981
130,19500,-33.0172
131,19650,-14.8563
132,19800,-12.3911
133,19950,-33.473
134,20100,-25.1758
135,20250,-5.2892
136,20400,-17.5533
137,20550,6.0688
138,20700,-27.5254
139,20850,-8.5181
140,21000,-37.9974
141,21150,-8.3533
142,21300,5.6858
143,21450,7.2209
144,21600,-15.331
145,21750,-12.5599
146,21900,-18.9864
147,22050,-10.4889
148,22200,-14.868
149,22350,-12.108
150,22500,-4.7469
151,22650,-13.4842
152,22800,-15.5464
153,22950,2.5299
154,23100,-29.0552
155,23250,-24.8713
156,23400,-25.3457
157,23550,-12.9065
158,23700,-19.2542
159,23850,-31.7485
160,24000,-1.3506
161,24150,4.7958
162,24300,-20.1918
163,24450,-7.3504
164,24600,-27.4131
165,24750,6.2482
166,24900,-3.5183
167,25050,-21.8685
168,25200,-25.701
169,25350,-43.5773
170,25500,-5.9933
171,25650,-14.0526
172,25800,-5.8893
173,25950,-25.7794
174,26100,-15.5568
175,26250,-7.3619
176,26400,-6.7287
177,26550,-22.2868
178,26700,-17.2013
179,26850,-13.3118
180,27000,-4.0556
181,27150,-10.8464
182,27300,0.5507
183,27450,12.6631
184,27600,-19.5581
185,27750,-27.1933
186,27900,-9.3131
187,28050,-3.1592
188,28200,-15.3645
189,28350,-1.4022
190,28500,1.7325
191,28650,-8.2334
192,28800,-17.4649
193,28950,-32.1875
194,29100,-5.4162
195,29250,-13.3481
196,29400,-12.5265
197,29550,-23.8288
198,29700,0.1042
199,29850,-8.633
200,30000,-21.8337
201,30150,-16.8945
202,30300,-19.6618
203,30450,-5.74
204,30600,-11.2903
205,30750,-17.0533
206,30900,-21.5659
207,31050,-8.9118
208,31200,-22.537
209,31350,-25.6767
210,31500,-6.684
211,31650,-5.4748
212,31800,-21.6619
213,31950,-12.3717
214,32100,-9.8765
215,32250,-27.2701
216,32400,-6.5696
217,32550,-5.2721
218,32700,-0.48
219,32850,-34.77
220,33000,-29.3067
221,33150,-27.7594
222,33300,-10.075
223,33450,-12.5193
224,33600,-22.9555
225,33750,10.6079
226,33900,9.6716
227,34050,-28.3958
228,34200,-18.1326
229,34350,-14.6995
230,34500,-10.8375
231,34650,13.0895
232,34800,-23.6309
233,34950,-2.796
234,35100,-6.5885
235,35250,-17.4556
236,35400,-4.7869
237,35550,-17.801
238,35700,-5.3796
239,35850,-20.4832
