time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/success_rate,time/episodes,train/learning_rate,train/loss,train/n_updates
150,-26.212302,0.9928750000000003,0,150.0,7222,0.0,1,,,
300,-14.9808655,0.98575,0,150.0,7354,0.0,2,,,
450,-14.852264,0.9786250000000003,0,150.0,7363,0.0,3,,,
600,-15.83678325,0.9715,0,150.0,7370,0.0,4,,,
750,-14.600983,0.9643750000000002,0,150.0,7377,0.0,5,,,
900,-13.742549833333333,0.9572499999999999,0,150.0,7386,0.0,6,,,
1050,-14.513789714285712,0.9501250000000002,0,150.0,7096,0.0,7,0.0005,0.01050848700106144,12
1200,-14.967916624999999,0.943,0,150.0,6537,0.0,8,0.0005,0.01368208508938551,49
1350,-16.033315777777776,0.9358750000000002,0,150.0,6170,0.0,9,0.0005,0.005762790329754353,87
1500,-15.505626799999998,0.92875,0,150.0,5887,0.0,10,0.0005,0.04011720418930054,124
1650,-15.364087909090909,0.9216250000000002,0,150.0,5674,0.0,11,0.0005,0.007202554028481245,162
1800,-15.193638,0.9145,0,150.0,5513,0.0,12,0.0005,0.010455414652824402,199
1950,-14.936788538461538,0.9073750000000002,0,150.0,5374,0.0,13,0.0005,0.006648148875683546,237
2100,-15.306451428571426,0.9002499999999999,0,150.0,5262,0.0,14,0.0005,0.055937737226486206,274
2250,-16.302255066666664,0.8931250000000002,0,150.0,5169,0.0,15,0.0005,0.013111693784594536,312
2400,-16.1721396875,0.8859999999999999,0,150.0,5097,0.0,16,0.0005,0.009199296124279499,349
2550,-16.749917294117644,0.8788750000000002,0,150.0,5032,0.0,17,0.0005,0.005260405130684376,387
2700,-15.681455166666666,0.8717499999999999,0,150.0,4979,0.0,18,0.0005,0.0057436819188296795,424
2850,-15.423563368421053,0.8646250000000002,0,150.0,4923,0.0,19,0.0005,0.012057749554514885,462
3000,-15.205407250000002,0.8574999999999999,0,150.0,4882,0.0,20,0.0005,0.008778886869549751,499
3150,-15.227366571428574,0.8503750000000001,0,150.0,4839,0.0,21,0.0005,0.02311480976641178,537
3300,-14.86660572727273,0.8432499999999998,0,150.0,4808,0.0,22,0.0005,0.017459310591220856,574
3450,-14.797338695652178,0.8361250000000001,0,150.0,4774,0.0,23,0.0005,0.04161730408668518,612
3600,-14.438269041666667,0.8289999999999998,0,150.0,4732,0.0,24,0.0005,0.01292805653065443,649
3750,-14.445164,0.8218750000000001,0,150.0,4703,0.0,25,0.0005,0.023237450048327446,687
3900,-14.50183873076923,0.8147499999999999,0,150.0,4678,0.0,26,0.0005,0.020014172419905663,724
