time/total_timesteps,rollout/ep_rew_mean,train/entropy,train/policy_loss,train/value_loss
600,-15.903,2.1916,-5.0399,14.793
1200,-17.3273,2.1885,-1.879,10.292
1800,-16.5177,2.1781,1.5055,11.4063
2400,-15.9725,2.1668,1.7318,21.7921
3000,-15.1277,2.1603,1.8296,21.1137
3600,-15.602,2.1511,-0.6366,12.0911
4200,-15.2568,2.145,0.3597,14.5111
4800,-15.525,2.1292,-1.3067,14.7278
5400,-15.6981,2.1289,-1.5382,8.2998
6000,-15.7887,2.1313,-0.2481,23.8392
6600,-15.862,2.1273,0.3908,15.8584
7200,-15.7407,2.1203,0.9129,13.8103
7800,-15.8598,2.1143,-0.4166,17.3133
8400,-15.4871,2.1044,0.9573,12.6341
9000,-15.2383,2.107,0.8303,4.9386
9600,-15.4824,2.1183,-1.3764,29.8325
10200,-15.6905,2.1147,-1.5916,25.4448
10800,-15.4023,2.1052,0.5688,10.7902
11400,-15.2913,2.103,-0.6164,9.9037
12000,-15.2016,2.1072,-0.2139,8.1015
12600,-15.1803,2.1121,-0.9917,6.5466
13200,-15.2079,2.0996,-0.3073,4.0322
13800,-14.637,2.0931,4.802,45.4613
14400,-14.4703,2.105,1.9837,7.6495
15000,-14.2809,2.1009,0.4956,11.1218
15600,-14.1873,2.1049,-1.511,13.5122
16200,-14.132,2.115,-1.6837,21.6004
16800,-13.8855,2.1062,0.7433,7.547
17400,-13.8818,2.1124,-0.758,8.3133
18000,-13.8318,2.103,0.7721,8.4985
18600,-13.7033,2.1038,-0.2456,7.3978
19200,-14.025,2.0911,-1.9766,20.3062
19800,-14.0967,2.0869,-1.4852,8.833
20400,-14.0265,2.0705,1.0718,14.0237
21000,-13.8455,2.0702,2.1966,11.3408
21600,-13.8598,2.0568,0.1244,12.4817
22200,-14.0944,2.0531,-0.7955,17.8722
22800,-13.6919,2.0585,3.8105,23.4689
23400,-13.9665,2.069,0.3093,6.2403
24000,-14.095,2.0526,0.4646,5.9053
24600,-13.9018,2.0347,0.0545,16.0757
25200,-13.6984,2.043,-1.1431,9.1295
25800,-14.0159,2.0506,-1.5548,15.8477
