time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/policy_loss,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean
5041,64,0,1,,,,,,,,,
4137,128,0,2,0.2440391182899475,0.0003,0.11701864004135132,1,-2.197206974029541,-0.28369301557540894,,,
5010,192,0,3,0.10049092769622803,0.0003,0.558244526386261,2,-2.194047451019287,-0.7833898663520813,,,
5659,256,0,4,-0.03673744201660156,0.0003,1.2091870307922363,3,-2.1927549839019775,-1.6762040853500366,,,
6073,320,0,5,-0.06997978687286377,0.0003,2.781472682952881,4,-2.189279079437256,-2.4162967205047607,,,
6438,384,0,6,-0.10113930702209473,0.0003,2.7524495124816895,5,-2.188627243041992,-1.4193940162658691,,,
6731,448,0,7,-0.03236973285675049,0.0003,1.7208061218261719,6,-2.1870667934417725,-2.2294106483459473,,,
6980,512,0,8,0.11462157964706421,0.0003,2.425467014312744,7,-2.1841888427734375,-2.92694354057312,,,
7143,576,0,9,-0.0029894113540649414,0.0003,3.0412864685058594,8,-2.1858432292938232,-1.9237669706344604,,,
7188,640,0,10,0.1658455729484558,0.0003,2.970038890838623,9,-2.1899726390838623,-0.2015874981880188,0.0,150.0,-17.25376225
7303,704,0,11,0.29255783557891846,0.0003,0.22803133726119995,10,-2.187830924987793,-0.0052690692245960236,0.0,150.0,-17.25376225
7405,768,0,12,-0.055278658866882324,0.0003,0.10831838101148605,11,-2.187516212463379,0.2913770377635956,0.0,150.0,-17.25376225
7430,832,0,13,-0.04277634620666504,0.0003,0.15762671828269958,12,-2.184993028640747,0.02747907117009163,0.0,150.0,-17.25376225
7517,896,0,14,0.3746119737625122,0.0003,0.205631822347641,13,-2.188253402709961,0.08057285845279694,0.0,150.0,-17.25376225
7609,960,0,15,0.3971855640411377,0.0003,0.33645904064178467,14,-2.1861956119537354,-0.7883996963500977,0.0,150.0,-17.25376225
7688,1024,0,16,0.15707600116729736,0.0003,1.2288429737091064,15,-2.1863396167755127,-1.785253643989563,0.0,150.0,-17.25376225
7729,1088,0,17,0.029084324836730957,0.0003,2.464155673980713,16,-2.187483310699463,-2.1387462615966797,0.0,150.0,-17.25376225
7767,1152,0,18,0.028667688369750977,0.0003,4.6134538650512695,17,-2.1876611709594727,-3.9964332580566406,0.0,150.0,-17.25376225
7813,1216,0,19,0.02860647439956665,0.0003,1.4455652236938477,18,-2.1887340545654297,-1.9365036487579346,0.0,150.0,-15.139874875
7824,1280,0,20,0.2364366054534912,0.0003,1.1256096363067627,19,-2.188979148864746,-0.14122381806373596,0.0,150.0,-15.139874875
7867,1344,0,21,0.04502594470977783,0.0003,0.21156036853790283,20,-2.1901211738586426,-0.20952247083187103,0.0,150.0,-15.139874875
7912,1408,0,22,0.2811649441719055,0.0003,0.14015619456768036,21,-2.1887333393096924,-0.47779592871665955,0.0,150.0,-15.139874875
7964,1472,0,23,0.19104832410812378,0.0003,0.48148834705352783,22,-2.1898465156555176,-0.3103170394897461,0.0,150.0,-15.139874875
7993,1536,0,24,0.21456009149551392,0.0003,1.127616047859192,23,-2.1907718181610107,-1.4752625226974487,0.0,150.0,-15.139874875
8009,1600,0,25,0.17251873016357422,0.0003,1.7366275787353516,24,-2.189704418182373,-2.255136489868164,0.0,150.0,-15.139874875
8033,1664,0,26,0.09761190414428711,0.0003,2.2349326610565186,25,-2.1899571418762207,-2.0020298957824707,0.0,150.0,-15.139874875
8053,1728,0,27,0.08417409658432007,0.0003,3.4967269897460938,26,-2.190986394882202,-2.759697437286377,0.0,150.0,-15.139874875
8039,1792,0,28,0.09681510925292969,0.0003,2.7152340412139893,27,-2.191770553588867,-2.893592357635498,0.0,150.0,-15.139874875
8030,1856,0,29,0.0922735333442688,0.0003,1.983482003211975,28,-2.1931395530700684,-2.7143609523773193,0.0,150.0,-16.90619475
8070,1920,0,30,0.1885426640510559,0.0003,0.2241496443748474,29,-2.189514636993408,0.4987572133541107,0.0,150.0,-16.90619475
8078,1984,0,31,-0.05430483818054199,0.0003,0.1729283183813095,30,-2.188473701477051,0.5001376867294312,0.0,150.0,-16.90619475
8094,2048,0,32,-0.17854654788970947,0.0003,0.21797555685043335,31,-2.188019037246704,-0.6593191027641296,0.0,150.0,-16.90619475
8113,2112,0,33,0.015989303588867188,0.0003,1.2705156803131104,32,-2.1885263919830322,0.18312926590442657,0.0,150.0,-16.90619475
8118,2176,0,34,0.30241483449935913,0.0003,0.8241105079650879,33,-2.190157413482666,-1.7098170518875122,0.0,150.0,-16.90619475
