rollout/success_rate,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/n_updates,train/clip_range,train/approx_kl
0.0,2048,0,150.0,1,11017,-16.437887,,,,,,,,,,
0.0,4096,0,150.0,2,5465,-13.717862791666667,-2.186785312741995,0.6245459246914834,0.14871971309185028,-0.018455887534946668,0.11591796875,0.008259952068328857,0.0003,10,0.2,0.01131364
0.0,6144,1,150.0,3,5135,-14.104036400000002,-2.1725517235696317,0.4824155363254249,0.06406715512275696,-0.01874003647462814,0.109716796875,0.4456879496574402,0.0003,20,0.2,0.011474188
0.0,8192,1,150.0,4,4966,-14.096623000000001,-2.1655168540775778,0.440332335466519,0.046685364097356796,-0.018724697179277428,0.091064453125,0.598918080329895,0.0003,30,0.2,0.012464965
0.014705882352941176,10240,2,150.0,5,4730,-14.184522411764709,-2.141416145861149,0.48607393857091663,0.06577175855636597,-0.02161879864579532,0.127294921875,0.6082576513290405,0.0003,40,0.2,0.011457728
0.0125,12288,2,150.0,6,4596,-13.900398000000001,-2.1217246308922766,0.5789257809985429,0.03960423171520233,-0.015413187208469025,0.073193359375,0.638455867767334,0.0003,50,0.2,0.010234947
0.010869565217391304,14336,3,150.0,7,4637,-13.467110163043477,-2.1170158110558988,0.43715948809403926,0.03530328720808029,-0.01985253691964317,0.11875,0.6934739351272583,0.0003,60,0.2,0.01247868
0.01,16384,3,150.0,8,4675,-13.05131043,-2.1052516750991344,0.4237614610698074,0.006347991526126862,-0.02619527233473491,0.128271484375,0.6682746410369873,0.0003,70,0.2,0.013237452
0.01,18432,3,150.0,9,4644,-12.946106,-2.097353030741215,0.37642703817691653,0.02018071711063385,-0.01692088831186993,0.101611328125,0.6884708404541016,0.0003,80,0.2,0.011844175
0.01,20480,4,150.0,10,4684,-12.480480589999997,-2.1110470853745937,0.3389566825935617,0.01679249107837677,-0.028451907077396754,0.17841796875,0.6558191180229187,0.0003,90,0.2,0.014556944
0.01,22528,4,150.0,11,4723,-11.551693190000002,-2.0895362265408037,0.26564434396568687,-0.015881337225437164,-0.025207399400824216,0.16171875,0.596625804901123,0.0003,100,0.2,0.012911977
0.0,24576,5,150.0,12,4749,-11.32844736,-2.08151756003499,0.2651360368123278,-0.0020289942622184753,-0.02563743525824975,0.14296875,0.7678686380386353,0.0003,110,0.2,0.012786098
0.0,26624,5,150.0,13,4737,-9.70985702,-2.087521018087864,0.3467587449820712,0.004324018955230713,-0.0281218898948282,0.169189453125,0.7444673776626587,0.0003,120,0.2,0.016207017
0.0,28672,6,150.0,14,4760,-9.80221961,-2.0779153026640413,0.4322626923210919,0.041587233543395996,-0.020835367281688378,0.13291015625,0.6471902132034302,0.0003,130,0.2,0.0111809755
0.0,30720,6,150.0,15,4781,-9.36387023,-2.0325627010315657,0.40263406208250674,0.016178350895643234,-0.025440486118895933,0.165576171875,0.6818852424621582,0.0003,140,0.2,0.014097543
0.0,32768,6,150.0,16,4800,-8.70102651,-2.014502801001072,0.3197692149318755,0.020778335630893707,-0.02392445311706979,0.1634765625,0.8098517656326294,0.0003,150,0.2,0.016856898
0.02,34816,7,150.0,17,4819,-7.630545509999999,-2.0275809314101934,0.46595641495659945,0.02210238203406334,-0.027378877726732753,0.17412109375,0.589817464351654,0.0003,160,0.2,0.016011503
0.03,36864,7,150.0,18,4837,-7.0328112,-1.98693379573524,0.4550128564238548,0.019170910120010376,-0.021310443134279922,0.11337890625,0.4505290389060974,0.0003,170,0.2,0.011188198
0.04,38912,8,150.0,19,4739,-6.88585714,-1.9735027603805064,0.47330894344486296,0.009743347764015198,-0.024887732416391372,0.1748046875,0.6072819828987122,0.0003,180,0.2,0.013775158
0.07,40960,8,150.0,20,4724,-6.349665260000002,-1.9825488075613975,0.447325943922624,0.08684006333351135,-0.020244819414801895,0.129248046875,0.6520023345947266,0.0003,190,0.2,0.011804674
0.09,43008,9,150.0,21,4739,-5.9210319,-1.9111598271876573,0.5005546189378947,0.09625892341136932,-0.018000790812948253,0.123486328125,0.5642421245574951,0.0003,200,0.2,0.013045985
