time/total_timesteps,rollout/ep_rew_mean,train/entropy,train/policy_loss,train/value_loss
300,-16.4263,2.1944,-0.0204,0.0
600,-18.4834,2.1942,-0.02,0.0
900,-16.5735,2.1916,-0.0231,0.0
1200,-14.4021,2.1878,-0.0174,0.0
1500,-15.639,2.1843,-0.0084,0.0
1800,-15.9066,2.1814,-0.0244,0.0
2100,-14.3473,2.1785,-0.0193,0.0
2400,-14.4159,2.1785,-0.0163,0.0
2700,-15.0743,2.1792,-0.0207,0.0
3000,-15.043,2.1741,-0.0089,0.0
3300,-14.7468,2.1757,-0.0251,0.0
3600,-14.6774,2.1692,-0.011,0.0
3900,-14.6406,2.1675,-0.0521,0.0
4200,-14.8156,2.1633,0.002,0.0
4500,-15.0057,2.1666,-0.0339,0.0
4800,-15.3412,2.1667,-0.0164,0.0
5100,-15.622,2.1611,-0.0022,0.0
5400,-15.4583,2.1578,-0.0145,0.0
5700,-15.7622,2.1593,-0.0049,0.0
6000,-15.9065,2.1577,-0.0195,0.0
6300,-16.2942,2.1562,-0.0153,0.0
6600,-16.1859,2.1534,0.0031,0.0
6900,-16.0228,2.1548,-0.0084,0.0
7200,-15.9327,2.1567,-0.0273,0.0
7500,-15.962,2.1559,-0.0303,0.0
7800,-15.7821,2.1549,-0.0072,0.0
8100,-15.7477,2.1571,-0.0459,0.0
8400,-15.7478,2.1571,-0.0131,0.0
8700,-15.6646,2.155,-0.0212,0.0
9000,-15.5911,2.1498,-0.0267,0.0
9300,-15.2334,2.1508,-0.0051,0.0
9600,-15.0411,2.1519,-0.0327,0.0
9900,-15.2232,2.1527,0.0059,0.0
10200,-15.3711,2.144,-0.004,0.0
10500,-15.4124,2.1485,0.0293,0.0
10800,-15.4855,2.1494,-0.0497,0.0
11100,-15.6233,2.1488,-0.04,0.0
11400,-15.6666,2.1438,-0.009,0.0
11700,-15.6063,2.1423,-0.0183,0.0
12000,-15.6075,2.1436,0.0213,0.0
12300,-15.6046,2.1381,-0.019,0.0
12600,-15.4426,2.1376,-0.0393,0.0
12900,-15.535,2.1384,-0.0035,0.0
13200,-15.5906,2.1327,-0.0113,0.0
13500,-15.6736,2.1457,-0.0444,0.0
13800,-15.5201,2.1407,-0.0255,0.0
14100,-15.6069,2.1409,-0.0204,0.0
14400,-15.7244,2.1311,0.0002,0.0
14700,-15.7461,2.1343,-0.0065,0.0
15000,-15.8717,2.1444,-0.0496,0.0
15300,-15.9218,2.1419,-0.0261,0.0
15600,-15.7599,2.1334,-0.015,0.0
15900,-15.8713,2.1308,0.0004,0.0
16200,-15.9572,2.1215,0.0039,0.0
16500,-15.9015,2.1336,-0.0023,0.0
16800,-15.9216,2.1361,-0.017,0.0
17100,-16.0439,2.1366,-0.0192,0.0
17400,-16.0389,2.143,-0.0253,0.0
17700,-15.9115,2.1429,-0.0256,0.0
18000,-15.9833,2.1524,-0.032,0.0
18300,-16.0901,2.1413,-0.0681,0.0
18600,-16.1553,2.1515,-0.023,0.0
18900,-16.0536,2.1485,-0.0406,0.0
19200,-16.0554,2.1482,-0.0123,0.0
19500,-16.0188,2.1451,-0.0345,0.0
19800,-15.8825,2.1472,0.004,0.0
20100,-15.8918,2.1454,-0.0386,0.0
20400,-15.8874,2.1443,-0.0512,0.0
20700,-15.7619,2.1432,-0.0408,0.0
21000,-15.8277,2.1396,-0.006,0.0
21300,-15.5847,2.1444,-0.0187,0.0
21600,-15.7758,2.1485,-0.0186,0.0
21900,-15.9772,2.1477,-0.0198,0.0
22200,-16.0369,2.1494,-0.0011,0.0
22500,-15.9737,2.144,-0.0362,0.0
22800,-15.9598,2.1503,-0.0527,0.0
23100,-15.8984,2.1492,-0.0436,0.0
23400,-15.8237,2.1443,-0.0249,0.0
23700,-15.9147,2.15,-0.0401,0.0
24000,-15.7915,2.1474,-0.0325,0.0
24300,-15.9859,2.1435,-0.0441,0.0
24600,-16.0475,2.1358,-0.0139,0.0
24900,-15.8411,2.1376,-0.0648,0.0
25200,-15.7071,2.1389,-0.0027,0.0
25500,-15.5416,2.1385,-0.0224,0.0
25800,-15.5472,2.1355,-0.039,0.0
26100,-15.58,2.1357,-0.0136,0.0
26400,-15.662,2.1235,-0.0221,0.0
26700,-15.8572,2.1248,-0.0242,0.0
27000,-16.0033,2.1246,-0.0106,0.0
27300,-15.9275,2.1338,-0.0226,0.0
