time/total_timesteps,rollout/ep_rew_mean,train/entropy,train/policy_loss,train/value_loss
40200,-17.3175,1.9051,-4.4836,0.0
40500,-17.4081,1.9624,-3.1924,0.0
40800,-17.6261,1.908,-4.8,0.0
41100,-17.645,1.8939,-5.2097,0.0
41400,-17.9866,1.9009,-3.6835,0.0
41700,-18.09,1.8674,-5.2935,0.0
42000,-18.3266,1.8828,-3.042,0.0
42300,-18.6754,1.7664,-3.6597,0.0
42600,-18.8275,1.8347,-3.8479,0.0
42900,-18.9924,1.8237,-4.7484,0.0
43200,-19.292,1.7748,-4.0298,0.0
43500,-19.4314,1.813,-4.7678,0.0
43800,-19.6274,1.8825,-3.6837,0.0
44100,-19.654,1.7864,-3.5734,0.0
44400,-19.7606,1.8108,-3.5194,0.0
44700,-19.8224,1.8119,-2.7013,0.0
45000,-20.0153,1.9258,-4.1923,0.0
45300,-20.2796,1.8602,-3.9506,0.0
45600,-20.1947,1.8969,-2.3416,0.0
45900,-20.255,1.9996,-4.4275,0.0
46200,-20.2809,1.9267,-4.9419,0.0
46500,-20.4752,2.0071,-4.122,0.0
46800,-20.4473,1.9837,-5.8764,0.0
47100,-20.6724,2.0484,-3.7553,0.0
47400,-20.7683,2.0728,-4.5131,0.0
47700,-20.7066,2.0663,-3.1999,0.0
48000,-20.7351,2.0596,-4.4017,0.0
48300,-20.8719,2.1122,-3.2643,0.0
48600,-20.8502,2.082,-2.6176,0.0
48900,-20.7889,2.0332,-4.8657,0.0
49200,-20.7726,2.0503,-4.1666,0.0
49500,-20.8549,2.0545,-3.7356,0.0
49800,-20.9152,2.0325,-2.4243,0.0
50100,-21.0373,2.0131,-4.518,0.0
50400,-20.9628,1.979,-4.3168,0.0
50700,-20.9871,1.9538,-3.3086,0.0
51000,-20.9826,1.8789,-4.5739,0.0
51300,-20.8657,1.9146,-4.8458,0.0
51600,-20.7284,1.8706,-4.0324,0.0
51900,-20.6618,1.8718,-2.6405,0.0
52200,-20.8232,1.8243,-4.3091,0.0
52500,-20.5177,1.8773,-4.1405,0.0
52800,-20.6482,1.8895,-4.0471,0.0
53100,-20.8393,1.8782,-3.6646,0.0
53400,-20.6581,1.7938,-4.5745,0.0
53700,-20.7459,1.9352,-4.4451,0.0
54000,-20.6817,1.8395,-5.2151,0.0
54300,-20.6524,1.8139,-3.5904,0.0
54600,-20.6432,1.8886,-5.0365,0.0
54900,-20.721,1.8649,-3.3136,0.0
55200,-20.7121,1.8911,-3.4221,0.0
55500,-20.6535,1.8744,-4.3083,0.0
55800,-20.3892,1.9257,-4.2272,0.0
56100,-20.2705,1.8959,-4.0255,0.0
56400,-20.1437,1.9115,-3.7032,0.0
56700,-20.0519,1.9418,-3.9584,0.0
57000,-19.8227,1.9319,-4.5755,0.0
57300,-19.4619,1.909,-3.4987,0.0
57600,-19.2825,2.0135,-4.1708,0.0
57900,-19.0169,1.9878,-3.1722,0.0
58200,-18.6875,1.9335,-2.2161,0.0
58500,-18.6118,1.9107,-5.0468,0.0
58800,-18.4641,1.9664,-6.3729,0.0
59100,-18.4802,2.0169,-4.2726,0.0
59400,-18.5358,2.0104,-2.8683,0.0
59700,-18.4662,2.0189,-2.807,0.0
60000,-18.2477,2.0168,-2.4372,0.0
60300,-18.0367,2.0805,-3.7038,0.0
60600,-17.961,2.1147,-3.9415,0.0
60900,-17.9869,2.0818,-6.1135,0.0
61200,-17.8885,2.0896,-6.0116,0.0
61500,-17.5542,2.1175,-4.3074,0.0
61800,-17.5271,2.1165,-6.1596,0.0
62100,-17.3938,2.0653,-5.6187,0.0
62400,-17.1094,2.1337,-4.6669,0.0
62700,-16.8988,2.095,-5.3031,0.0
63000,-16.5962,2.0994,-0.3189,0.0
63300,-16.3329,2.0611,-3.5704,0.0
63600,-16.4195,2.0802,-6.0258,0.0
63900,-16.4609,2.0805,-3.8465,0.0
64200,-16.5147,2.0618,-3.9063,0.0
64500,-16.4952,2.0494,-2.7086,0.0
